id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party.x,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,next_election.x,total_votes,missed_votes,total_present,last_updated.x,ocd_id,office,phone,fax,state.x,senate_class,state_rank,lis_id,missed_votes_pct,votes_with_party_pct,votes_against_party_pct,district,at_large,geoid,response,name,cycle,state.y,party.y,chamber,first_elected,next_election.y,total,spent,cash_on_hand,debt,origin,source,last_updated.y
B001230,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001230.json,Tammy,NA,Baldwin,NA,1962-02-11,F,D,Senate Democratic Caucus Secretary,SenatorBaldwin,senatortammybaldwin,witammybaldwin,400013,57884,3470,29940,N00004367,/m/024v02,H8WI00018,https://www.baldwin.senate.gov,NA,https://www.baldwin.senate.gov/feedback,TRUE,NA,-0.493,NA,9,2024,858,1,0,2022-09-13 06:12:21 -0400,ocd-division/country:us/state:wi,709 Hart Senate Office Building,202-224-5653,NA,WI,1,junior,S354,0.12,98.95,1.05,NA,NA,NA,@attributes,"Baldwin, Tammy",2022,WI,D,S,2012,2024,34931350.73,33512895.33,2508375.2,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00004367&cycle=2022,06/30/2022
B001261,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001261.json,John,NA,Barrasso,NA,1952-07-21,M,R,Senate Republican Conference Chair,SenJohnBarrasso,johnbarrasso,barrassowyo,412251,1024777,52662,40707,N00006236,/m/02rsm32,S6WY00068,https://www.barrasso.senate.gov,https://www.barrasso.senate.gov/public/?a=rss.feed,https://www.barrasso.senate.gov/public/index.cfm/contact-form,TRUE,NA,0.537,NA,15,2024,858,56,0,2022-09-13 06:12:10 -0400,ocd-division/country:us/state:wy,307 Dirksen Senate Office Building,202-224-6441,NA,WY,1,senior,S317,6.53,95.29,4.71,NA,NA,NA,@attributes,"Barrasso, John A",2022,WY,R,S,2007,2024,7886035.6,6383258.61,4252242.5,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00006236&cycle=2022,06/30/2022
B001267,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001267.json,Michael,NA,Bennet,NA,1964-11-28,M,D,NA,SenBennetCo,senbennetco,SenatorBennet,412330,1031622,110942,40910,N00030608,/m/05b60qf,S0CO00211,https://www.bennet.senate.gov/public,NA,https://www.bennet.senate.gov/public/index.cfm/contact,TRUE,NA,-0.229,NA,13,2022,858,19,0,2022-09-13 06:12:18 -0400,ocd-division/country:us/state:co,261 Russell Senate Office Building,202-224-5852,202-228-5097,CO,3,senior,S330,2.21,99.05,0.95,NA,NA,NA,@attributes,"Bennet, Michael",2022,CO,D,S,2009,2022,14344570.71,7994803.19,8060644.1,374819,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00030608&cycle=2022,06/30/2022
B001243,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001243.json,Marsha,NA,Blackburn,NA,1952-06-06,F,R,NA,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,400032,31226,25186,20351,N00003105,/m/01fnkt,H2TN06030,https://www.blackburn.senate.gov,NA,https://www.blackburn.senate.gov/email-me,TRUE,NA,0.627,NA,3,2024,858,53,0,2022-09-13 06:12:31 -0400,ocd-division/country:us/state:tn,357 Dirksen Senate Office Building,202-224-3344,NA,TN,1,senior,S396,6.18,92.28,7.72,NA,NA,NA,@attributes,"Blackburn, Marsha",2022,TN,R,S,2018,2024,18665652.8,18136225.87,3081384.69,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00003105&cycle=2022,06/30/2022
B001277,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001277.json,Richard,NA,Blumenthal,NA,1946-02-13,M,D,NA,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,412490,21799,1568,41101,N00031685,/m/03tg8m,S0CT00177,https://www.blumenthal.senate.gov,https://www.blumenthal.senate.gov/rss/feeds/?type=press,https://www.blumenthal.senate.gov/contact/,TRUE,NA,-0.436,NA,11,2022,858,14,0,2022-09-13 06:12:24 -0400,ocd-division/country:us/state:ct,706 Hart Senate Office Building,202-224-2823,202-224-9673,CT,3,senior,S341,1.63,98.93,1.07,NA,NA,NA,@attributes,"Blumenthal, Richard",2022,CT,D,S,2010,2022,8141286.93,2783018.62,8311687.43,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00031685&cycle=2022,06/30/2022
B000575,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B000575.json,Roy,NA,Blunt,NA,1950-01-10,M,R,,RoyBlunt,SenatorBlunt,SenatorBlunt,400034,45465,418,29735,N00005195,/m/034fn4,H6MO07128,https://www.blunt.senate.gov,NA,https://www.blunt.senate.gov/public/index.cfm/contact-roy,TRUE,NA,0.402,NA,11,2022,858,73,0,2022-09-13 06:12:19 -0400,ocd-division/country:us/state:mo,260 Russell Senate Office Building,202-224-5721,202-224-8149,MO,3,senior,S342,8.51,80.08,19.92,NA,NA,NA,@attributes,"Blunt, Roy",2022,MO,R,S,2010,2022,3038039.88,2241428.61,899374.17,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00005195&cycle=2022,06/30/2022
B001288,"Senator, 2nd Class",Sen.,https://api.propublica.org/congress/v1/members/B001288.json,Cory,NA,Booker,NA,1969-04-27,M,D,NA,SenBooker,NA,SenCoryBooker,412598,84679,76151,41308,N00035267,/m/06p430,S4NJ00185,https://www.booker.senate.gov,NA,https://www.booker.senate.gov/?p=contact,TRUE,NA,-0.585,NA,9,2026,858,23,0,2022-09-13 06:12:25 -0400,ocd-division/country:us/state:nj,717 Hart Senate Office Building,202-224-3224,NA,NJ,2,junior,S370,2.68,98.68,1.32,NA,NA,NA,@attributes,"Booker, Cory",2022,NJ,D,S,2013,2026,17716198.89,11896970.73,7199676.89,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00035267&cycle=2022,06/30/2022
B001236,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/B001236.json,John,NA,Boozman,NA,1950-12-10,M,R,NA,JohnBoozman,JohnBoozman,BoozmanPressOffice,400040,92069,27958,20101,N00013873,/m/024s3v,H2AR03176,https://www.boozman.senate.gov/public,https://www.boozman.senate.gov/public/?a=RSS.Feed,https://www.boozman.senate.gov/public/index.cfm/contact,TRUE,NA,0.426,NA,11,2022,858,6,0,2022-09-13 06:12:10 -0400,ocd-division/country:us/state:ar,141 Hart Senate Office Building,202-224-4843,202-228-1371,AR,3,senior,S343,0.7,94.98,5.02,NA,NA,NA,@attributes,"Boozman, John",2022,AR,R,S,2010,2022,6719516.42,5822072.36,1356124.59,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00013873&cycle=2022,06/30/2022
B001310,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B001310.json,Mike,NA,Braun,NA,1954-03-24,M,R,NA,SenatorBraun,NA,NA,412839,NA,148564,NA,N00041731,/g/11f2ckdwty,S8IN00171,https://www.braun.senate.gov,NA,http://www.braun.senate.gov/contact-mike,TRUE,NA,NA,NA,1,2024,858,22,0,2022-09-13 06:12:36 -0400,ocd-division/country:us/state:in,374 Russell Senate Office Building,202-224-4814,NA,IN,1,junior,S397,2.56,91.02,8.98,NA,NA,NA,@attributes,"Braun, Mike",2022,IN,R,S,2018,2024,20397668.2,19254074.33,1143591.83,341069.24,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00041731&cycle=2022,06/30/2022
B000944,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/B000944.json,Sherrod,NA,Brown,NA,1952-11-09,M,D,NA,SenSherrodBrown,SenatorSherrodBrown,SherrodBrownOhio,400050,5051,27018,29389,N00003535,/m/034s80,H2OH13033,https://www.brown.senate.gov,NA,http://www.brown.senate.gov/contact/,TRUE,NA,-0.428,NA,15,2024,858,7,0,2022-09-13 06:12:09 -0400,ocd-division/country:us/state:oh,503 Hart Senate Office Building,202-224-2315,NA,OH,1,senior,S307,0.82,99.53,0.47,NA,NA,NA,@attributes,"Brown, Sherrod",2022,OH,D,S,2006,2024,28045454.08,28649598.99,2579709.67,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00003535&cycle=2022,06/30/2022
