id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party.x,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,next_election.x,total_votes,missed_votes,total_present,last_updated.x,ocd_id,office,phone,fax,state.x,senate_class,state_rank,lis_id,missed_votes_pct,votes_with_party_pct,votes_against_party_pct,district,at_large,geoid,response,name,cycle,state.y,party.y,chamber,first_elected,next_election.y,total,spent,cash_on_hand,debt,origin,source,last_updated.y
C000141,"Senator, 1st Class",Sen.,https://api.propublica.org/congress/v1/members/C000141.json,Benjamin,L.,Cardin,NA,1943-10-05,M,D,NA,SenatorCardin,senatorbencardin,senatorcardin,400064,4004,26888,15408,N00001955,/m/025k3k,H6MD03177,https://www.cardin.senate.gov,NA,http://www.cardin.senate.gov/contact/,TRUE,NA,-0.319,NA,15,2024,858,7,0,2022-09-13 06:12:10 -0400,ocd-division/country:us/state:md,509 Hart Senate Office Building,202-224-4524,NA,MD,1,senior,S308,0.82,99.29,0.71,NA,NA,NA,@attributes,"Cardin, Ben",2022,MD,D,S,2006,2024,4379669.79,4010435.15,1073574.23,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00001955&cycle=2022,06/30/2022
V000128,"Senator, 3rd Class",Sen.,https://api.propublica.org/congress/v1/members/V000128.json,Chris,NA,Van Hollen,NA,1959-01-10,M,D,NA,ChrisVanHollen,chrisvanhollen,RepChrisVanHollen,400415,20756,6098,20330,N00013820,/m/025kb5,H2MD08126,https://www.vanhollen.senate.gov,NA,http://www.vanhollen.senate.gov/contact/email,TRUE,NA,-0.391,NA,5,2022,858,48,0,2022-09-13 06:12:30 -0400,ocd-division/country:us/state:md,110 Hart Senate Office Building,202-224-4654,202-225-0375,MD,3,junior,S390,5.59,99.75,0.25,NA,NA,NA,@attributes,"Van Hollen, Chris",2022,MD,D,S,2016,2022,7961151.29,4381001.91,4059190.5,2209.56,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00013820&cycle=2022,06/29/2022
B001304,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001304.json,Anthony,NA,Brown,NA,1961-11-21,M,D,,RepAnthonyBrown,RepAnthonyBrown,RepAnthonyBrown,412707,1029537,19344,21707,N00036999,/m/09v6fg,H6MD04209,https://anthonybrown.house.gov,NA,NA,TRUE,NA,-0.344,NA,6,2022,868,19,0,2022-09-11 21:00:16 -0400,ocd-division/country:us/state:md/cd:4,1323 Longworth House Office Building,202-225-8699,NA,MD,NA,NA,NA,2.19,98.11,1.77,4,FALSE,2404,@attributes,"Brown, Anthony",2022,MD,D,H,2016,2022,530086.14,293250,1354171.33,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00036999&cycle=2022,06/30/2022
H001052,Representative,Rep.,https://api.propublica.org/congress/v1/members/H001052.json,Andy,NA,Harris,NA,1957-01-25,M,R,NA,RepAndyHarrisMD,AndyHarrisMD,RepAndyHarris,412434,1033464,19157,21139,N00029147,/m/02852wc,H8MD01094,https://harris.house.gov,https://harris.house.gov/rss.xml,NA,TRUE,NA,0.671,NA,12,2022,868,14,0,2022-09-11 21:00:14 -0400,ocd-division/country:us/state:md/cd:1,2334 Rayburn House Office Building,202-225-5311,NA,MD,NA,NA,NA,1.61,82.24,17.65,1,FALSE,2401,@attributes,"Harris, Andy",2022,MD,R,H,2010,2022,1482125.58,675454.09,1849850.56,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00029147&cycle=2022,06/29/2022
H000874,Representative,Rep.,https://api.propublica.org/congress/v1/members/H000874.json,Steny,H.,Hoyer,NA,1939-06-14,M,D,House Majority Leader,LeaderHoyer,WhipHoyer,LeaderHoyer,400189,1919,26890,14873,N00001821,/m/025k5p,H2MD05155,https://hoyer.house.gov,NA,NA,TRUE,NA,-0.38,NA,42,2022,868,23,0,2022-09-11 21:00:17 -0400,ocd-division/country:us/state:md/cd:5,1705 Longworth House Office Building,202-225-4131,NA,MD,NA,NA,NA,2.65,98.7,1.19,5,FALSE,2405,@attributes,"Hoyer, Steny H",2022,MD,D,H,1981,2022,3019116.67,2625654.12,1272529.3,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00001821&cycle=2022,06/29/2022
M000687,Representative,Rep.,https://api.propublica.org/congress/v1/members/M000687.json,Kweisi,NA,Mfume,NA,1948-10-24,M,D,NA,RepKweisiMfume,NA,NA,407672,NA,NA,15432,N00001799,NA,S6MD03185,https://mfume.house.gov,NA,NA,TRUE,NA,NA,NA,4,2022,868,17,0,2022-09-11 21:00:17 -0400,ocd-division/country:us/state:md/cd:7,2263 Rayburn House Office Building,202-225-4741,NA,MD,NA,NA,NA,1.96,98.7,1.18,7,FALSE,2407,@attributes,"Mfume, Kweisi",2022,MD,D,H,2020,2022,383701.95,161620.46,523183.97,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00001799&cycle=2022,06/29/2022
R000606,Representative,Rep.,https://api.propublica.org/congress/v1/members/R000606.json,Jamie,NA,Raskin,NA,1962-12-13,M,D,NA,repraskin,repraskin,NA,412708,12924,65904,21741,N00037036,/m/0c13wm,H6MD08457,https://raskin.house.gov,https://raskin.house.gov/rss.xml,NA,TRUE,NA,-0.535,NA,6,2022,868,15,0,2022-09-11 21:00:17 -0400,ocd-division/country:us/state:md/cd:8,2242 Rayburn House Office Building,202-225-5341,NA,MD,NA,NA,NA,1.73,98.94,0.94,8,FALSE,2408,@attributes,"Raskin, Jamie",2022,MD,D,H,2016,2022,3416610.71,1974539.23,2780601.2,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00037036&cycle=2022,06/29/2022
R000576,Representative,Rep.,https://api.propublica.org/congress/v1/members/R000576.json,C.A. Dutch,NA,Ruppersberger,NA,1946-01-31,M,D,NA,Call_Me_Dutch,DutchRupp,ruppersberger,400349,49155,36130,20329,N00025482,/m/025k36,H2MD02160,https://ruppersberger.house.gov,https://ruppersberger.house.gov/rss.xml,NA,TRUE,NA,-0.295,NA,20,2022,868,10,0,2022-09-11 21:00:17 -0400,ocd-division/country:us/state:md/cd:2,2206 Rayburn House Office Building,202-225-3061,NA,MD,NA,NA,NA,1.15,98.83,1.05,2,FALSE,2402,@attributes,"Ruppersberger, Dutch",2022,MD,D,H,2002,2022,795964.56,613950.35,1386227.89,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00025482&cycle=2022,06/29/2022
S001168,Representative,Rep.,https://api.propublica.org/congress/v1/members/S001168.json,John,NA,Sarbanes,NA,1962-05-22,M,D,NA,RepSarbanes,RepSarbanes,RepJohnSarbanes,412212,1022884,66575,20724,N00027751,/m/08_r8n,H6MD03292,https://sarbanes.house.gov,https://sarbanes.house.gov/rss.xml,NA,TRUE,NA,-0.467,NA,16,2022,868,5,0,2022-09-11 21:00:17 -0400,ocd-division/country:us/state:md/cd:3,2370 Rayburn House Office Building,202-225-4016,NA,MD,NA,NA,NA,0.58,98.95,0.93,3,FALSE,2403,@attributes,"Sarbanes, John",2022,MD,D,H,2006,2022,170274.5,228309.15,978748.87,0,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00027751&cycle=2022,06/29/2022
T000483,Representative,Rep.,https://api.propublica.org/congress/v1/members/T000483.json,David,NA,Trone,NA,1955-09-21,M,D,NA,RepDavidTrone,NA,NA,412783,NA,167336,NA,N00039122,/g/11dxnzbmvl,H6MD08549,https://trone.house.gov,NA,NA,TRUE,NA,NA,NA,4,2022,868,10,0,2022-09-11 21:00:16 -0400,ocd-division/country:us/state:md/cd:6,1110 Longworth House Office Building,202-225-2721,NA,MD,NA,NA,NA,1.15,97.55,2.34,6,FALSE,2406,@attributes,"Trone, David",2022,MD,D,H,2018,2022,12781818.59,2115171.1,10760327.8,13302000,Center for Responsive Politics,https://www.opensecrets.org/members-of-congress/summary?cid=N00039122&cycle=2022,06/29/2022
