state,county,year,state datum (water level),acres below water level,total acreage (2000),percentage of total acreage below water level,assessed value of land below water level,assessed value of buildings/ improvements at least partly below water level,assessed value of land + improvements below water level,buildings at least partly below water level,tax parcels at least partly below water level,GEOID,variable,median_age,moe
Alaska,Dillingham Census Area,2050,mhhw,10,21032,5e-4,28907,313,29220,0,43,2070,B01002_001,30.2,0.4
Alaska,Kenai Peninsula Borough,2050,mhhw,20,10200000,0,16826,0,16826,0,34,2122,B01002_001,40.8,0.4
Alaska,Ketchikan Gateway Borough,2050,mhhw,41,3104127,0,1046593,1168052,2214645,0,798,2130,B01002_001,39.7,0.5
Alaska,Nome Census Area,2050,mhhw,15,18629,8e-4,1306552,129399,1435951,0,17,2180,B01002_001,28.3,0.4
Alaska,North Slope Borough,2050,mhhw,151319,57000000,0.0027,data not available,data not available,data not available,0,818,2185,B01002_001,35.2,1.3
Alaska,Petersburg Borough,2050,mhhw,0,84437,0,0,0,0,0,34,2195,B01002_001,42.8,4.2
Alaska,Sitka City and Borough,2050,mhhw,0,8145,0,data not available,data not available,data not available,0,0,2220,B01002_001,39.5,0.7
Alaska,Wrangell City and Borough,2050,mhhw,1,19206,1e-4,101204,82267,183471,0,401,2275,B01002_001,49.4,2.8
Alaska,Yakutat City and Borough,2050,mhhw,1031,4891427,2e-4,23437,0,23437,0,19,2282,B01002_001,36.9,4.7
Alabama,Baldwin,2050,mhw,5371,1056871,0.0051,data not available,data not available,data not available,435,6394,1003,B01002_001,43,0.3
Alabama,Clarke,2050,mhw,23,782549,0,28436,2686,31122,0,53,1025,B01002_001,42.5,0.8
Alabama,Mobile,2050,mhw,8048,754966,0.0107,5.28E+07,9.03E+07,1.43E+08,430,4039,1097,B01002_001,37.9,0.2
Alabama,Monroe,2050,mhw,4,652809,0,4155,0,4155,0,4,1099,B01002_001,43.3,0.5
Alabama,Washington,2050,mhw,1,682775,0,data not available,data not available,data not available,0,2,1129,B01002_001,43.7,0.6
California,Alameda,2050,mhw,382,590990,6e-4,3603321,3.61E+07,3.97E+07,87,771,6001,B01002_001,37.6,0.1
California,Contra Costa,2050,mhw,470,435283,0.0011,data not available,data not available,data not available,303,835,6013,B01002_001,39.7,0.1
California,Del Norte,2050,mhw,56,643457,1e-4,428489,43347,471836,0,277,6015,B01002_001,39.5,1.1
California,Humboldt,2050,mhw,1204,2304753,5e-4,2097805,1275375,3373180,24,1060,6023,B01002_001,38.4,0.3
California,Los Angeles,2050,mhw,41,3323552,0,2.19E+07,2.51E+07,4.69E+07,51,1450,6037,B01002_001,36.5,0.1
California,Marin,2050,mhw,758,324669,0.0023,data not available,data not available,data not available,874,2642,6041,B01002_001,46.8,0.1
California,Mendocino,2050,mhw,93,2243873,0,1469060,5007557,6476617,12,663,6045,B01002_001,43.1,0.3
California,Monterey,2050,mhw,347,2102137,2e-4,5380521,4378667,9759188,13,468,6053,B01002_001,34.4,0.1
California,Napa,2050,mhw,327,494287,7e-4,1169840,1196951,2366791,7,246,6055,B01002_001,41.3,0.4
California,Orange,2050,mhw,116,747107,2e-4,7.48E+07,1.49E+08,2.24E+08,181,1175,6059,B01002_001,38.1,0.2
California,Sacramento,2050,mhw,2647,557088,0.0048,3.35E+07,1.11E+08,1.45E+08,1196,1209,6067,B01002_001,36.2,0.1
