GEOID,NAME,variable,estimate,moe
01001,"Autauga County, Alabama",B01002_001,38.2,0.6
01003,"Baldwin County, Alabama",B01002_001,43,0.3
01005,"Barbour County, Alabama",B01002_001,40.4,0.5
01007,"Bibb County, Alabama",B01002_001,40.9,1.3
01009,"Blount County, Alabama",B01002_001,40.7,0.3
01011,"Bullock County, Alabama",B01002_001,40.2,2.3
01013,"Butler County, Alabama",B01002_001,40.8,0.7
01015,"Calhoun County, Alabama",B01002_001,39.6,0.3
01017,"Chambers County, Alabama",B01002_001,42,0.7
01019,"Cherokee County, Alabama",B01002_001,46.5,0.5
01021,"Chilton County, Alabama",B01002_001,38.7,0.7
01023,"Choctaw County, Alabama",B01002_001,46.3,0.3
01025,"Clarke County, Alabama",B01002_001,42.5,0.8
01027,"Clay County, Alabama",B01002_001,43.3,0.8
01029,"Cleburne County, Alabama",B01002_001,43.1,0.8
01031,"Coffee County, Alabama",B01002_001,39.3,0.3
01033,"Colbert County, Alabama",B01002_001,42.4,0.4
01035,"Conecuh County, Alabama",B01002_001,44.8,0.3
01037,"Coosa County, Alabama",B01002_001,48.4,1
01039,"Covington County, Alabama",B01002_001,43.3,0.5
01041,"Crenshaw County, Alabama",B01002_001,41.7,0.8
01043,"Cullman County, Alabama",B01002_001,40.8,0.3
01045,"Dale County, Alabama",B01002_001,37.3,0.5
01047,"Dallas County, Alabama",B01002_001,39.6,0.4
01049,"DeKalb County, Alabama",B01002_001,39.5,0.4
01051,"Elmore County, Alabama",B01002_001,38.7,0.3
01053,"Escambia County, Alabama",B01002_001,40,0.5
01055,"Etowah County, Alabama",B01002_001,41.4,0.3
01057,"Fayette County, Alabama",B01002_001,43.7,0.6
01059,"Franklin County, Alabama",B01002_001,38.6,2.1
01061,"Geneva County, Alabama",B01002_001,43.2,0.6
01063,"Greene County, Alabama",B01002_001,40.9,3
01065,"Hale County, Alabama",B01002_001,40.5,1.8
01067,"Henry County, Alabama",B01002_001,44.4,0.4
01069,"Houston County, Alabama",B01002_001,40.1,0.2
01071,"Jackson County, Alabama",B01002_001,43.1,0.4
01073,"Jefferson County, Alabama",B01002_001,37.7,0.2
01075,"Lamar County, Alabama",B01002_001,44.8,0.3
01077,"Lauderdale County, Alabama",B01002_001,41,0.5
01079,"Lawrence County, Alabama",B01002_001,42.4,0.4
01081,"Lee County, Alabama",B01002_001,31.9,0.2
01083,"Limestone County, Alabama",B01002_001,39.7,0.4
01085,"Lowndes County, Alabama",B01002_001,42,1.1
01087,"Macon County, Alabama",B01002_001,38.6,0.6
01089,"Madison County, Alabama",B01002_001,38.5,0.2
01091,"Marengo County, Alabama",B01002_001,42.2,0.7
01093,"Marion County, Alabama",B01002_001,44.3,0.4
01095,"Marshall County, Alabama",B01002_001,38.8,0.4
01097,"Mobile County, Alabama",B01002_001,37.9,0.2
01099,"Monroe County, Alabama",B01002_001,43.3,0.5
01101,"Montgomery County, Alabama",B01002_001,36.4,0.3
01103,"Morgan County, Alabama",B01002_001,40.6,0.3
01105,"Perry County, Alabama",B01002_001,36.9,1.4
01107,"Pickens County, Alabama",B01002_001,42.2,0.7
01109,"Pike County, Alabama",B01002_001,31.2,0.7
01111,"Randolph County, Alabama",B01002_001,43.4,0.4
01113,"Russell County, Alabama",B01002_001,36.3,0.4
