GEOID,county,state,variable,estimate,moe
1001,Autauga , Alabama,B01002_001,38.2,0.6
1003,Baldwin , Alabama,B01002_001,43,0.3
1005,Barbour , Alabama,B01002_001,40.4,0.5
1007,Bibb , Alabama,B01002_001,40.9,1.3
1009,Blount , Alabama,B01002_001,40.7,0.3
1011,Bullock , Alabama,B01002_001,40.2,2.3
1013,Butler , Alabama,B01002_001,40.8,0.7
1015,Calhoun , Alabama,B01002_001,39.6,0.3
1017,Chambers , Alabama,B01002_001,42,0.7
1019,Cherokee , Alabama,B01002_001,46.5,0.5
1021,Chilton , Alabama,B01002_001,38.7,0.7
1023,Choctaw , Alabama,B01002_001,46.3,0.3
1025,Clarke , Alabama,B01002_001,42.5,0.8
1027,Clay , Alabama,B01002_001,43.3,0.8
1029,Cleburne , Alabama,B01002_001,43.1,0.8
1031,Coffee , Alabama,B01002_001,39.3,0.3
1033,Colbert , Alabama,B01002_001,42.4,0.4
1035,Conecuh , Alabama,B01002_001,44.8,0.3
1037,Coosa , Alabama,B01002_001,48.4,1
1039,Covington , Alabama,B01002_001,43.3,0.5
1041,Crenshaw , Alabama,B01002_001,41.7,0.8
1043,Cullman , Alabama,B01002_001,40.8,0.3
1045,Dale , Alabama,B01002_001,37.3,0.5
1047,Dallas , Alabama,B01002_001,39.6,0.4
1049,DeKalb , Alabama,B01002_001,39.5,0.4
1051,Elmore , Alabama,B01002_001,38.7,0.3
1053,Escambia , Alabama,B01002_001,40,0.5
1055,Etowah , Alabama,B01002_001,41.4,0.3
1057,Fayette , Alabama,B01002_001,43.7,0.6
1059,Franklin , Alabama,B01002_001,38.6,2.1
1061,Geneva , Alabama,B01002_001,43.2,0.6
1063,Greene , Alabama,B01002_001,40.9,3
1065,Hale , Alabama,B01002_001,40.5,1.8
1067,Henry , Alabama,B01002_001,44.4,0.4
1069,Houston , Alabama,B01002_001,40.1,0.2
1071,Jackson , Alabama,B01002_001,43.1,0.4
1073,Jefferson , Alabama,B01002_001,37.7,0.2
1075,Lamar , Alabama,B01002_001,44.8,0.3
1077,Lauderdale , Alabama,B01002_001,41,0.5
1079,Lawrence , Alabama,B01002_001,42.4,0.4
1081,Lee , Alabama,B01002_001,31.9,0.2
1083,Limestone , Alabama,B01002_001,39.7,0.4
1085,Lowndes , Alabama,B01002_001,42,1.1
1087,Macon , Alabama,B01002_001,38.6,0.6
1089,Madison , Alabama,B01002_001,38.5,0.2
1091,Marengo , Alabama,B01002_001,42.2,0.7
1093,Marion , Alabama,B01002_001,44.3,0.4
1095,Marshall , Alabama,B01002_001,38.8,0.4
1097,Mobile , Alabama,B01002_001,37.9,0.2
1099,Monroe , Alabama,B01002_001,43.3,0.5
1101,Montgomery , Alabama,B01002_001,36.4,0.3
1103,Morgan , Alabama,B01002_001,40.6,0.3
1105,Perry , Alabama,B01002_001,36.9,1.4
1107,Pickens , Alabama,B01002_001,42.2,0.7
1109,Pike , Alabama,B01002_001,31.2,0.7
1111,Randolph , Alabama,B01002_001,43.4,0.4
1113,Russell , Alabama,B01002_001,36.3,0.4
1115,St. Clair , Alabama,B01002_001,40.3,0.4
1117,Shelby , Alabama,B01002_001,39.3,0.3
1119,Sumter , Alabama,B01002_001,35.6,0.3
1121,Talladega , Alabama,B01002_001,41.3,0.4
1123,Tallapoosa , Alabama,B01002_001,44.7,0.3
1125,Tuscaloosa , Alabama,B01002_001,33,0.2
1127,Walker , Alabama,B01002_001,42.1,0.5
1129,Washington , Alabama,B01002_001,43.7,0.6
1131,Wilcox , Alabama,B01002_001,40.5,1
1133,Winston , Alabama,B01002_001,45.2,0.3
2013,Aleutians East Borough, Alaska,B01002_001,42.5,1.5
2016,Aleutians West Census Area, Alaska,B01002_001,38.6,1.7
2020,Anchorage Municipality, Alaska,B01002_001,33.6,0.1
2050,Bethel Census Area, Alaska,B01002_001,27.3,0.5
2060,Bristol Bay Borough, Alaska,B01002_001,42.9,5.9
2068,Denali Borough, Alaska,B01002_001,42.1,8.3
2070,Dillingham Census Area, Alaska,B01002_001,30.2,0.4
2090,Fairbanks North Star Borough, Alaska,B01002_001,31.3,0.3
2100,Haines Borough, Alaska,B01002_001,44.7,6.7
2105,Hoonah-Angoon Census Area, Alaska,B01002_001,49.6,3.4
2110,Juneau City and Borough, Alaska,B01002_001,38.1,0.4
2122,Kenai Peninsula Borough, Alaska,B01002_001,40.8,0.4
2130,Ketchikan Gateway Borough, Alaska,B01002_001,39.7,0.5
2150,Kodiak Island Borough, Alaska,B01002_001,33.9,0.6
2158,Kusilvak Census Area, Alaska,B01002_001,24.1,0.2
2164,Lake and Peninsula Borough, Alaska,B01002_001,34.8,1.9
2170,Matanuska-Susitna Borough, Alaska,B01002_001,35.2,0.1
2180,Nome Census Area, Alaska,B01002_001,28.3,0.4
2185,North Slope Borough, Alaska,B01002_001,35.2,1.3
2188,Northwest Arctic Borough, Alaska,B01002_001,27.8,0.7
2195,Petersburg Borough, Alaska,B01002_001,42.8,4.2
2198,Prince of Wales-Hyder Census Area, Alaska,B01002_001,41.3,0.6
2220,Sitka City and Borough, Alaska,B01002_001,39.5,0.7
2230,Skagway Municipality, Alaska,B01002_001,40.4,1.7
2240,Southeast Fairbanks Census Area, Alaska,B01002_001,36.8,1
2261,Valdez-Cordova Census Area, Alaska,B01002_001,38.1,1.3
2275,Wrangell City and Borough, Alaska,B01002_001,49.4,2.8
2282,Yakutat City and Borough, Alaska,B01002_001,36.9,4.7
2290,Yukon-Koyukuk Census Area, Alaska,B01002_001,35.2,0.3
4001,Apache , Arizona,B01002_001,35,0.2
4003,Cochise , Arizona,B01002_001,41.1,0.3
4005,Coconino , Arizona,B01002_001,30.7,0.2
4007,Gila , Arizona,B01002_001,50.2,0.2
4009,Graham , Arizona,B01002_001,33.6,0.5
4011,Greenlee , Arizona,B01002_001,34.5,0.5
4012,La Paz , Arizona,B01002_001,56.5,0.5
4013,Maricopa , Arizona,B01002_001,36.4,0.1
4015,Mohave , Arizona,B01002_001,51.6,0.3
4017,Navajo , Arizona,B01002_001,37.3,0.3
4019,Pima , Arizona,B01002_001,38.5,0.1
