DATA_SRC,YEAR,MONTH,CITY,Postal  ,County
CSIS,2017,6,UPPER MARLBORO,20772,Prince George's
CSIS,2018,4,UPPER MARLBORO,20772,Prince George's
CSIS,2017,11,SUITLAND,20746,Prince George's
CSIS,2018,2,SUITLAND,20746,Prince George's
CSIS,2017,8,COLLEGE PARK,20740,Prince George's
CSIS,2018,4,CAPITOL HEIGHTS,20743,Prince George's
CSIS,2017,9,OXON HILL,20745,Prince George's
CSIS,2016,8,OXON HILL,20745,Prince George's
CSIS,2017,3,OXON HILL,20745,Prince George's
CSIS,2017,12,MITCHELLVILLE,20721,Prince George's
CSIS,2018,4,MITCHELLVILLE,20721,Prince George's
CSIS,2018,3,HYATTSVILLE,20785,Prince George's
CSIS,2017,5,HYATTSVILLE,20785,Prince George's
CSIS,2018,4,HYATTSVILLE,20785,Prince George's
CSIS,2019,5,CLINTON,20735,Prince George's
CSIS,2018,4,CAPITOL HEIGHTS,20743,Prince George's
CSIS,2017,3,FORT WASHINGTON,20744,Prince George's
CSIS,2016,9,FORT WASHINGTON,20744,Prince George's
CSIS,2017,11,FORT WASHINGTON,20744,Prince George's
CSIS,2018,1,FORT WASHINGTON,20744,Prince George's
CSIS,2018,3,FORT WASHINGTON,20744,Prince George's
CSIS,2019,5,LAUREL,20708,Prince George's
CSIS,2018,6,LANHAM-SEABROOK,20706,Prince George's
CSIS,2018,5,OXON HILL,20745,Prince George's
CSIS,2016,2,OXON HILL,20745,Prince George's
CSIS,2019,3,OXON HILL,20745,Prince George's
CSIS,2017,5,SPRINGDALE,20774,Prince George's
CSIS,2017,10,BRANDYWINE,20613,Prince George's
CSIS,2018,2,HYATTSVILLE,20783,Prince George's
CSIS,2018,11,HYATTSVILLE,20783,Prince George's
CSIS,2017,2,HYATTSVILLE,20783,Prince George's
CSIS,2016,9,FORT WASHINGTON,20744,Prince George's
CSIS,2019,5,FORT WASHINGTON,20744,Prince George's
CSIS,2017,10,LANHAM-SEABROOK,20706,Prince George's
CSIS,2018,10,FORT WASHINGTON,20744,Prince George's
CSIS,2017,12,FORT WASHINGTON,20744,Prince George's
CSIS,2018,7,MITCHELLVILLE,20721,Prince George's
CSIS,2018,4,CLINTON,20735,Prince George's
CSIS,2017,11,CLINTON,20735,Prince George's
CSIS,2016,4,CLINTON,20735,Prince George's
CSIS,2017,1,BRANDYWINE,20613,Prince George's
CSIS,2017,11,BOWIE,20716,Prince George's
CSIS,2017,5,CAPITOL HEIGHTS,20743,Prince George's
CSIS,2017,1,CAPITOL HEIGHTS,20743,Prince George's
CSIS,2016,7,SUITLAND,20746,Prince George's
CSIS,2018,5,SUITLAND,20746,Prince George's
CSIS,2017,1,BRENTWOOD,20722,Prince George's
CSIS,2019,3,GREENBELT,20770,Prince George's
CSIS,2017,5,BOWIE,20720,Prince George's
CSIS,2017,8,BOWIE,20720,Prince George's
CSIS,2016,12,BOWIE,20720,Prince George's
CSIS,2018,7,BOWIE,20720,Prince George's
CSIS,2018,5,BOWIE,20720,Prince George's
CSIS,2018,2,BRENTWOOD,20722,Prince George's
CSIS,2017,11,BRENTWOOD,20722,Prince George's
CSIS,2017,9,OXON HILL,20745,Prince George's
CSIS,2018,9,OXON HILL,20745,Prince George's
CSIS,2017,3,OXON HILL,20745,Prince George's
CSIS,2016,3,OXON HILL,20745,Prince George's
CSIS,2018,5,OXON HILL,20745,Prince George's
CSIS,2017,12,OXON HILL,20745,Prince George's
CSIS,2017,2,WEST HYATTSVILLE,20782,Prince George's
CSIS,2018,3,HYATTSVILLE,20785,Prince George's
CSIS,2017,6,HYATTSVILLE,20785,Prince George's
CSIS,2018,4,FORT WASHINGTON,20744,Prince George's
CSIS,2017,7,HYATTSVILLE,20781,Prince George's
CSIS,2016,5,HYATTSVILLE,20781,Prince George's
CSIS,2017,10,UPPER MARLBORO,20772,Prince George's
CSIS,2018,6,UPPER MARLBORO,20772,Prince George's
CSIS,2018,3,SPRINGDALE,20774,Prince George's
CSIS,2016,12,TEMPLE HILLS,20748,Prince George's
CSIS,2017,2,TEMPLE HILLS,20748,Prince George's
CSIS,2018,4,CAPITOL HEIGHTS,20743,Prince George's
CSIS,2018,2,LAUREL,20707,Prince George's
CSIS,2017,12,MITCHELLVILLE,20721,Prince George's
CSIS,2018,6,MITCHELLVILLE,20721,Prince George's
CSIS,2017,12,MITCHELLVILLE,20721,Prince George's
CSIS,2017,2,GLENN DALE,20769,Prince George's
CSIS,2018,3,LANHAM-SEABROOK,20706,Prince George's
