GEOID,NAME,variable.x,total_population,moe.x,variable.y,white_population,moe.y,variable.x.x,black_population,moe.x.x,variable.y.y,american_idian_alaskan_population,moe.y.y,variable.x.x.x,asian_population,moe.x.x.x,variable.y.y.y,native_hawaiian_population,moe.y.y.y
01001,"Autauga County, Alabama",B01003_001,55380,NA,B02001_002,42527,258,B02001_003,10538,267,B02001_004,140,73,B02001_005,573,158,B02001_006,26,33
01003,"Baldwin County, Alabama",B01003_001,212830,NA,B02001_002,183471,797,B02001_003,19718,451,B02001_004,1645,394,B02001_005,1969,275,B02001_006,9,15
01005,"Barbour County, Alabama",B01003_001,25361,NA,B02001_002,11869,146,B02001_003,12066,153,B02001_004,82,42,B02001_005,134,33,B02001_006,1,3
01007,"Bibb County, Alabama",B01003_001,22493,NA,B02001_002,17272,75,B02001_003,5014,116,B02001_004,30,60,B02001_005,27,45,B02001_006,0,22
01009,"Blount County, Alabama",B01003_001,57681,NA,B02001_002,55062,373,B02001_003,928,154,B02001_004,46,41,B02001_005,212,25,B02001_006,25,40
01011,"Bullock County, Alabama",B01003_001,10248,NA,B02001_002,2244,53,B02001_003,7666,328,B02001_004,0,19,B02001_005,50,66,B02001_006,0,19
01013,"Butler County, Alabama",B01003_001,19828,NA,B02001_002,10280,58,B02001_003,9001,154,B02001_004,11,11,B02001_005,69,59,B02001_006,0,19
01015,"Calhoun County, Alabama",B01003_001,114618,NA,B02001_002,84439,543,B02001_003,23830,426,B02001_004,379,236,B02001_005,1014,163,B02001_006,14,21
01017,"Chambers County, Alabama",B01003_001,33660,NA,B02001_002,19423,101,B02001_003,13316,167,B02001_004,112,50,B02001_005,376,55,B02001_006,0,25
01019,"Cherokee County, Alabama",B01003_001,25903,NA,B02001_002,24052,87,B02001_003,1191,112,B02001_004,280,121,B02001_005,64,68,B02001_006,0,22
01021,"Chilton County, Alabama",B01003_001,44055,NA,B02001_002,36835,691,B02001_003,4041,308,B02001_004,361,318,B02001_005,195,69,B02001_006,0,25
01023,"Choctaw County, Alabama",B01003_001,12925,NA,B02001_002,7337,56,B02001_003,5500,73,B02001_004,8,9,B02001_005,17,17,B02001_006,0,19
01025,"Clarke County, Alabama",B01003_001,24128,NA,B02001_002,12781,55,B02001_003,11044,122,B02001_004,26,28,B02001_005,104,26,B02001_006,0,22
01027,"Clay County, Alabama",B01003_001,13337,NA,B02001_002,11092,69,B02001_003,2075,76,B02001_004,37,64,B02001_005,21,27,B02001_006,0,19
01029,"Cleburne County, Alabama",B01003_001,14916,NA,B02001_002,14000,111,B02001_003,410,105,B02001_004,14,20,B02001_005,3,9,B02001_006,0,19
