GEOID,NAME 1,NAME 2,total_population,white_population,black_population,american_idian_alaskan_population,asian_population,native_hawaiian_population
1001,Autauga County, Alabama,55380,42527,10538,140,573,26
1003,Baldwin County, Alabama,212830,183471,19718,1645,1969,9
1005,Barbour County, Alabama,25361,11869,12066,82,134,1
1007,Bibb County, Alabama,22493,17272,5014,30,27,0
1009,Blount County, Alabama,57681,55062,928,46,212,25
1011,Bullock County, Alabama,10248,2244,7666,0,50,0
1013,Butler County, Alabama,19828,10280,9001,11,69,0
1015,Calhoun County, Alabama,114618,84439,23830,379,1014,14
1017,Chambers County, Alabama,33660,19423,13316,112,376,0
1019,Cherokee County, Alabama,25903,24052,1191,280,64,0
1021,Chilton County, Alabama,44055,36835,4041,361,195,0
1023,Choctaw County, Alabama,12925,7337,5500,8,17,0
1025,Clarke County, Alabama,24128,12781,11044,26,104,0
1027,Clay County, Alabama,13337,11092,2075,37,21,0
1029,Cleburne County, Alabama,14916,14000,410,14,3,0
1031,Coffee County, Alabama,51662,39118,8733,640,745,0
1033,Colbert County, Alabama,54771,43289,8872,319,259,51
1035,Conecuh County, Alabama,12394,6287,5919,25,56,0
1037,Coosa County, Alabama,10757,7078,3615,9,0,0
1039,Covington County, Alabama,37200,31460,5018,22,184,34
1041,Crenshaw County, Alabama,13844,9879,3228,97,175,9
1043,Cullman County, Alabama,82853,78804,1073,234,314,0
1045,Dale County, Alabama,49277,35655,10000,386,699,4
1047,Dallas County, Alabama,39149,10906,27693,37,222,21
1049,DeKalb County, Alabama,71310,60924,1039,841,86,561
1051,Elmore County, Alabama,81144,61104,17449,214,439,0
1053,Escambia County, Alabama,37057,23053,11878,1479,102,55
1055,Etowah County, Alabama,102748,82027,16330,581,764,24
1057,Fayette County, Alabama,16494,14068,1948,0,78,7
1059,Franklin County, Alabama,31466,26118,1385,408,117,0
1061,Geneva County, Alabama,26417,22870,2538,250,115,12
1063,Greene County, Alabama,8324,1439,6618,37,0,0
1065,Hale County, Alabama,14809,5854,8796,30,33,0
1067,Henry County, Alabama,17133,12118,4565,30,68,17
1069,Houston County, Alabama,104702,72344,28157,271,930,63
1071,Jackson County, Alabama,51852,47456,1809,629,232,55
1073,Jefferson County, Alabama,659680,341768,283311,1443,10433,201
1075,Lamar County, Alabama,13885,12154,1479,3,17,0
1077,Lauderdale County, Alabama,92556,80436,9596,363,593,62
1079,Lawrence County, Alabama,33058,25799,3502,1852,65,27
1081,Lee County, Alabama,161152,113359,36920,296,6899,23
1083,Limestone County, Alabama,94727,76003,13028,723,1309,78
1085,Lowndes County, Alabama,10079,2497,7522,13,0,0
1087,Macon County, Alabama,18708,3000,15560,16,32,0
1089,Madison County, Alabama,362276,246132,88011,2124,9555,316
1091,Marengo County, Alabama,19321,8840,10348,21,0,0
1093,Marion County, Alabama,29866,27739,1070,141,54,0
1095,Marshall County, Alabama,95643,88969,2549,378,573,51
1097,Mobile County, Alabama,414114,242715,148050,3192,7928,47
1099,Monroe County, Alabama,21270,11587,9026,372,58,6
1101,Montgomery County, Alabama,226941,81265,131408,468,6383,53
1103,Morgan County, Alabama,119213,95265,15230,574,760,91
1105,Perry County, Alabama,9293,2737,6491,3,8,0
1107,Pickens County, Alabama,20243,11477,8134,28,12,12
1109,Pike County, Alabama,33333,19301,12277,188,734,3
1111,Randolph County, Alabama,22647,17452,4622,38,47,0
1113,Russell County, Alabama,57952,28519,25300,179,553,23
1115,St. Clair County, Alabama,87989,76774,8447,351,745,11
1117,Shelby County, Alabama,213432,170998,25878,736,4399,51
1119,Sumter County, Alabama,12797,3229,9204,9,274,0
1121,Talladega County, Alabama,80387,51398,26215,342,494,90
1123,Tallapoosa County, Alabama,40541,28360,11123,90,145,0
1125,Tuscaloosa County, Alabama,207305,133130,66307,448,3341,93
