state,state_code,state_name,county_code,county,fips_code,match_county,total_loans,kabbage_loans,percent_kabbage
GA,13,Georgia,269,Taylor County,13269,TAYLOR,251,18,7.171314741035857
CO,08,Colorado,047,Gilpin County,08047,GILPIN,100,7,7.000000000000001
FL,12,Florida,077,Liberty County,12077,LIBERTY,88,6,6.8181818181818175
GA,13,Georgia,083,Dade County,13083,DADE,151,9,5.960264900662252
AL,01,Alabama,057,Fayette County,01057,FAYETTE,253,14,5.533596837944664
LA,22,Louisiana,117,Washington Parish,22117,WASHINGTON,952,52,5.46218487394958
NY,36,New York,087,Rockland County,36087,ROCKLAND,9201,491,5.336376480817302
MA,25,Massachusetts,015,Hampshire County,25015,HAMPSHIRE,2915,146,5.008576329331047
FL,12,Florida,111,St. Lucie County,12111,SAINT LUCIE,7657,382,4.988899046624004
PA,42,Pennsylvania,031,Clarion County,42031,CLARION,485,24,4.948453608247423
NJ,34,New Jersey,037,Sussex County,34037,SUSSEX,2351,116,4.934070608251808
GA,13,Georgia,141,Hancock County,13141,HANCOCK,206,10,4.854368932038835
GA,13,Georgia,305,Wayne County,13305,WAYNE,476,23,4.831932773109244
VA,51,Virginia,037,Charlotte County,51037,CHARLOTTE,169,8,4.733727810650888
SC,45,South Carolina,069,Marlboro County,45069,MARLBORO,339,16,4.71976401179941
VA,51,Virginia,089,Henry County,51089,HENRY,457,21,4.595185995623632
FL,12,Florida,097,Osceola County,12097,OSCEOLA,11758,527,4.482054771219595
GA,13,Georgia,169,Jones County,13169,JONES,497,22,4.426559356136821
FL,12,Florida,105,Polk County,12105,POLK,13474,593,4.401068724951759
GA,13,Georgia,289,Twiggs County,13289,TWIGGS,206,9,4.368932038834951
NY,36,New York,081,Queens County,36081,QUEENS,65635,2775,4.227927173002209
FL,12,Florida,093,Okeechobee County,12093,OKEECHOBEE,594,25,4.208754208754209
NY,36,New York,047,Kings County,36047,KINGS,74450,3132,4.206850235057085
FL,12,Florida,003,Baker County,12003,BAKER,240,10,4.166666666666666
VA,51,Virginia,141,Patrick County,51141,PATRICK,192,8,4.166666666666666
FL,12,Florida,086,Miami-Dade County,12086,MIAMI-DADE,152811,6341,4.149570384330971
AL,01,Alabama,133,Winston County,01133,WINSTON,364,15,4.1208791208791204
GA,13,Georgia,235,Pulaski County,13235,PULASKI,267,11,4.119850187265917
FL,12,Florida,099,Palm Beach County,12099,PALM BEACH,59740,2449,4.099430867090727
NJ,34,New Jersey,017,Hudson County,34017,HUDSON,14680,595,4.053133514986376
NJ,34,New Jersey,029,Ocean County,34029,OCEAN,11936,482,4.0382037533512065
FL,12,Florida,011,Broward County,12011,BROWARD,93700,3766,4.019210245464247
GA,13,Georgia,033,Burke County,13033,BURKE,627,25,3.9872408293460926
FL,12,Florida,095,Orange County,12095,ORANGE,54231,2101,3.874167911342221
TN,47,Tennessee,147,Robertson County,47147,ROBERTSON,1046,40,3.824091778202677
GA,13,Georgia,247,Rockdale County,13247,ROCKDALE,5431,207,3.811452771128706
VA,51,Virginia,683,Manassas city,51683,MANASSAS CITY,1029,39,3.7900874635568513
TX,48,Texas,247,Jim Hogg County,48247,JIM HOGG,53,2,3.7735849056603774
TN,47,Tennessee,063,Hamblen County,47063,HAMBLEN,750,28,3.733333333333334
GA,13,Georgia,113,Fayette County,13113,FAYETTE,4155,155,3.730445246690734
FL,12,Florida,057,Hillsborough County,12057,HILLSBOROUGH,45524,1684,3.699147702310869
SC,45,South Carolina,041,Florence County,45041,FLORENCE,3654,134,3.6672140120415984
GA,13,Georgia,093,Dooly County,13093,DOOLY,467,17,3.640256959314775
GA,13,Georgia,151,Henry County,13151,HENRY,12076,439,3.635309705200397
FL,12,Florida,055,Highlands County,12055,HIGHLANDS,1668,60,3.5971223021582732
GA,13,Georgia,009,Baldwin County,13009,BALDWIN,1214,43,3.5420098846787478
WI,55,Wisconsin,135,Waupaca County,55135,WAUPACA,1158,41,3.540587219343696
VA,51,Virginia,025,Brunswick County,51025,BRUNSWICK,226,8,3.5398230088495577
GA,13,Georgia,039,Camden County,13039,CAMDEN,623,22,3.5313001605136436
CO,08,Colorado,013,Boulder County,08013,BOULDER,10200,360,3.5294117647058822
AL,01,Alabama,099,Monroe County,01099,MONROE,568,20,3.5211267605633805
GA,13,Georgia,237,Putnam County,13237,PUTNAM,601,21,3.494176372712146
SC,45,South Carolina,015,Berkeley County,45015,BERKELEY,3955,138,3.4892541087231352
GA,13,Georgia,067,Cobb County,13067,COBB,30041,1029,3.4253187310675415
GA,13,Georgia,089,DeKalb County,13089,DEKALB,41956,1428,3.403565640194489
FL,12,Florida,061,Indian River County,12061,INDIAN RIVER,3478,118,3.392754456584244
SC,45,South Carolina,075,Orangeburg County,45075,ORANGEBURG,1894,64,3.37909186906019
GA,13,Georgia,095,Dougherty County,13095,DOUGHERTY,4746,160,3.37126000842815
TX,48,Texas,315,Marion County,48315,MARION,149,5,3.3557046979865772
FL,12,Florida,015,Charlotte County,12015,CHARLOTTE,3222,108,3.35195530726257
VA,51,Virginia,153,Prince William County,51153,PRINCE WILLIAM,7943,266,3.3488606320030216
NJ,34,New Jersey,023,Middlesex County,34023,MIDDLESEX,18533,619,3.3399881292829012
NY,36,New York,005,Bronx County,36005,BRONX,33794,1126,3.331952417588921
FL,12,Florida,069,Lake County,12069,LAKE,7510,247,3.288948069241012
GA,13,Georgia,135,Gwinnett County,13135,GWINNETT,39416,1296,3.2880048711183276
FL,12,Florida,053,Hernando County,12053,HERNANDO,2806,92,3.278688524590164
NJ,34,New Jersey,031,Passaic County,34031,PASSAIC,12242,401,3.2756085606926972
WI,55,Wisconsin,139,Winnebago County,55139,WINNEBAGO,2692,88,3.268945022288262
GA,13,Georgia,297,Walton County,13297,WALTON,2397,78,3.254067584480601
FL,12,Florida,117,Seminole County,12117,SEMINOLE,12950,419,3.2355212355212353
FL,12,Florida,101,Pasco County,12101,PASCO,9773,316,3.233398137726389
AL,01,Alabama,097,Mobile County,01097,MOBILE,14136,455,3.2187323146576117
TX,48,Texas,495,Winkler County,48495,WINKLER,156,5,3.205128205128205
VA,51,Virginia,510,Alexandria city,51510,ALEXANDRIA CITY,4860,155,3.189300411522634
NJ,34,New Jersey,041,Warren County,34041,WARREN,1757,56,3.187250996015936
NY,36,New York,059,Nassau County,36059,"NASSAU",45053,1431,3.1762590726477704
VA,51,Virginia,017,Bath County,51017,BATH,63,2,3.1746031746031744
GA,13,Georgia,229,Pierce County,13229,PIERCE,380,12,3.1578947368421053
FL,12,Florida,049,Hardee County,12049,HARDEE,318,10,3.1446540880503147
WI,55,Wisconsin,087,Outagamie County,55087,OUTAGAMIE,3948,124,3.1408308004052685
GA,13,Georgia,121,Fulton County,13121,FULTON,67821,2128,3.137671222777606
GA,13,Georgia,187,Lumpkin County,13187,LUMPKIN,351,11,3.133903133903134
GA,13,Georgia,261,Sumter County,13261,SUMTER,1279,40,3.1274433150899137
NY,36,New York,071,Orange County,36071,ORANGE,7523,235,3.123753821613718
GA,13,Georgia,097,Douglas County,13097,DOUGLAS,6685,208,3.111443530291698
GA,13,Georgia,145,Harris County,13145,HARRIS,611,19,3.109656301145663
NY,36,New York,085,Richmond County,36085,RICHMOND,9431,292,3.096172198070194
GA,13,Georgia,063,Clayton County,13063,CLAYTON,19765,611,3.091323045788009
AL,01,Alabama,087,Macon County,01087,MACON,389,12,3.0848329048843186
WV,54,West Virginia,005,Boone County,54005,BOONE,98,3,3.061224489795918
GA,13,Georgia,087,Decatur County,13087,DECATUR,915,28,3.060109289617486
FL,12,Florida,127,Volusia County,12127,VOLUSIA,10635,325,3.05594734367654
GA,13,Georgia,127,Glynn County,13127,GLYNN,2102,64,3.0447193149381544
KY,21,Kentucky,077,Gallatin County,21077,GALLATIN,66,2,3.0303030303030303
GA,13,Georgia,253,Seminole County,13253,SEMINOLE,332,10,3.0120481927710845
NJ,34,New Jersey,013,Essex County,34013,ESSEX,21723,653,3.0060304746121624
TX,48,Texas,335,Mitchell County,48335,MITCHELL,100,3,3
FL,12,Florida,071,Lee County,12071,LEE,18475,551,2.9824086603518265
NJ,34,New Jersey,003,Bergen County,34003,BERGEN,30722,910,2.9620467417485843
NJ,34,New Jersey,025,Monmouth County,34025,MONMOUTH,16473,487,2.956352819765677
MD,24,Maryland,031,Montgomery County,24031,MONTGOMERY,26284,777,2.9561710546339977
GA,13,Georgia,013,Barrow County,13013,BARROW,1523,45,2.954694681549573
AK,02,Alaska,185,North Slope Borough,02185,NORTH SLOPE,34,1,2.941176470588235
GA,13,Georgia,319,Wilkinson County,13319,WILKINSON,272,8,2.941176470588235
TN,47,Tennessee,089,Jefferson County,47089,JEFFERSON,578,17,2.941176470588235
GA,13,Georgia,057,Cherokee County,13057,CHEROKEE,5425,159,2.930875576036866
MD,24,Maryland,510,Baltimore city,24510,BALTIMORE CITY,13546,397,2.9307544662631035
GA,13,Georgia,285,Troup County,13285,TROUP,3383,99,2.926396689328998
FL,12,Florida,081,Manatee County,12081,MANATEE,8187,237,2.8948332722609016
FL,12,Florida,009,Brevard County,12009,BREVARD,10857,314,2.8921433176752323
NJ,34,New Jersey,039,Union County,34039,UNION,13474,389,2.887041709959923
FL,12,Florida,083,Marion County,12083,MARION,6551,189,2.8850557166844757
HI,15,Hawaii,009,Maui County,15009,MAUI,4478,129,2.8807503349709696
VA,51,Virginia,830,Williamsburg city,51830,WILLIAMSBURG CITY,244,7,2.8688524590163933
TX,48,Texas,397,Rockwall County,48397,ROCKWALL,2722,78,2.865540044085231
MD,24,Maryland,027,Howard County,24027,HOWARD,8146,232,2.848023569850233
SC,45,South Carolina,009,Bamberg County,45009,BAMBERG,246,7,2.8455284552845526
NY,36,New York,103,Suffolk County,36103,SUFFOLK,38695,1101,2.8453288538570876
FL,12,Florida,035,Flagler County,12035,FLAGLER,1936,55,2.840909090909091
NM,35,New Mexico,061,Valencia County,35061,VALENCIA,460,13,2.8260869565217392
FL,12,Florida,107,Putnam County,12107,PUTNAM,885,25,2.824858757062147
FL,12,Florida,001,Alachua County,12001,ALACHUA,5540,156,2.815884476534296
OH,39,Ohio,111,Monroe County,39111,MONROE,107,3,2.803738317757009
AL,01,Alabama,115,St. Clair County,01115,SAINT CLAIR,1071,30,2.801120448179272
IL,17,Illinois,145,Perry County,17145,PERRY,393,11,2.7989821882951653
GA,13,Georgia,315,Wilcox County,13315,WILCOX,286,8,2.797202797202797
LA,22,Louisiana,119,Webster Parish,22119,WEBSTER,895,25,2.793296089385475
SC,45,South Carolina,057,Lancaster County,45057,LANCASTER,1253,35,2.793296089385475
MD,24,Maryland,039,Somerset County,24039,SOMERSET,251,7,2.788844621513944
FL,12,Florida,021,Collier County,12021,COLLIER,11734,327,2.786773478779615
GA,13,Georgia,179,Liberty County,13179,LIBERTY,1222,34,2.7823240589198037
FL,12,Florida,109,St. Johns County,12109,SAINT JOHNS,5430,151,2.7808471454880292
AL,01,Alabama,113,Russell County,01113,RUSSELL,1695,47,2.7728613569321534
