Year,player_name,last_name,last_name_year,first_name,team,team_clean,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists,
2019,"McConvey, Thomas",McConvey,"McConvey, 2019", Thomas,MIM,MIM,,20,48,57,105,28,11,17,4,3,
2019,"Waters, Kyle",Waters,"Waters, 2019", Kyle,ORA,ORA,,20,42,55,97,18,7,13,0,1,
2019,"Williams, Dyson",Williams,"Williams, 2019", Dyson,WHI,WHI,,19,36,59,95,8,9,12,0,0,
2019,"Van Schepen, Seth",Van Schepen,"Van Schepen, 2019", Seth,BRA,BRA,,20,24,62,86,2,9,17,0,0,
2019,"Pilon, Kealan",Pilon,"Pilon, 2019", Kealan,SCA,SCA,,20,34,47,81,2,5,4,0,0,
2019,"Hasen, Austin",Hasen,"Hasen, 2019", Austin,BRA,BRA,,19,34,45,79,14,9,12,1,0,
2019,"Pipher, Devin",Pipher,"Pipher, 2019", Devin,WHI,WHI,,20,19,57,76,37,5,12,1,1,
2019,"Zavitz, Carter",Zavitz,"Zavitz, 2019", Carter,SCA,SCA,,18,21,51,72,12,3,6,0,0,
2019,"Anderson, Matt",Anderson,"Anderson, 2019", Matt,BUR,BUR,,18,30,39,69,24,4,13,1,1,
2019,"Watson, Dylan",Watson,"Watson, 2019", Dylan,ORA,ORA,,19,44,23,67,18,9,9,2,0,
2019,"Buck, Tanner",Buck,"Buck, 2019", Tanner,ORA,ORA,,19,28,37,65,10,8,12,0,0,
2019,"Kurtz, Tye",Kurtz,"Kurtz, 2019", Tye,KWE,KWE,,16,28,37,65,6,8,4,0,1,
2019,"Kealey, Corson",Kealey,"Kealey, 2019", Corson,TOR,TOR,,19,29,35,64,0,3,6,1,2,
2019,"X Sykes, Justin",Sykes,"Sykes, 2019", Justin,MIM,MIM,,19,28,34,62,0,6,11,0,0,
2019,"Knox, Jason",Knox,"Knox, 2019", Jason,BUR,BUR,,12,29,32,61,13,7,12,2,1,
2019,"McNabb, Jake",McNabb,"McNabb, 2019", Jake,SCA,SCA,,17,26,33,59,0,6,6,0,0,
2019,"Longboat, Travis",Longboat,"Longboat, 2019", Travis,SNA,SNA,,19,22,35,57,6,2,6,1,3,
2019,"X Grenon, Nathan",Grenon,"Grenon, 2019", Nathan,BRA,BRA,,19,29,28,57,30,5,5,0,1,
2019,"Lemieux, Hunter",Lemieux,"Lemieux, 2019", Hunter,BUR,BUR,,19,22,33,55,19,3,5,0,1,
2019,"DiCicco, Trent",DiCicco,"DiCicco, 2019", Trent,KWE,KWE,,17,20,33,53,20,2,9,0,0,
2019,"Haigh, Gareth",Haigh,"Haigh, 2019", Gareth,MIM,MIM,,20,30,23,53,27,10,2,1,1,
2019,"Whiteford, James",Whiteford,"Whiteford, 2019", James,BRA,BRA,,20,15,38,53,8,1,4,2,1,
2019,"Poitras, Adam",Poitras,"Poitras, 2019", Adam,WHI,WHI,,19,25,27,52,2,4,5,0,0,
2019,"Thomas, Skkylar",Thomas,"Thomas, 2019", Skkylar,TOR,TOR,,17,13,39,52,4,1,4,0,0,
2019,"X Donville, Jonathan",Donville,"Donville, 2019", Jonathan,MIM,MIM,,11,22,30,52,10,2,11,1,1,
2019,"Clark, Taggart",Clark,"Clark, 2019", Taggart,TOR,TOR,,20,20,31,51,2,1,4,0,1,
2019,"X Del Zotto, Scott",Del Zotto,"Del Zotto, 2019", Scott,BUR,BUR,,18,17,34,51,29,3,8,0,0,
2019,"Bomberry, Jeremy",Bomberry,"Bomberry, 2019", Jeremy,SNA,SNA,,18,19,31,50,43,3,3,1,2,
2019,"Peshko, Johnathan",Peshko,"Peshko, 2019", Johnathan,MIM,MIM,,19,13,37,50,4,0,12,0,2,
2019,"Angus, Marley",Angus,"Angus, 2019", Marley,OAK,OAK,,18,20,28,48,0,2,7,0,0,
2019,"Walcot, Jaden",Walcot,"Walcot, 2019", Jaden,OAK,OAK,,16,19,29,48,0,5,4,0,1,
2019,"Cook, Tanner",Cook,"Cook, 2019", Tanner,WHI,WHI,,13,24,22,46,42,3,5,1,0,
2019,"Kearnan, Brady",Kearnan,"Kearnan, 2019", Brady,TOR,TOR,,18,18,28,46,15,1,5,0,0,
2019,"Kurtz, Reed",Kurtz,"Kurtz, 2019", Reed,KWE,KWE,,18,20,26,46,6,7,7,1,0,
2019,"Simmons, Alex",Simmons,"Simmons, 2019", Alex,SCA,SCA,,8,19,27,46,4,2,6,0,0,
2019,"Scanlan, Chase",Scanlan,"Scanlan, 2019", Chase,SNA,SNA,,14,22,23,45,4,2,5,2,1,
2019,"S Hill, Owen",S Hill,"S Hill, 2019", Owen,SNA,SNA,,16,23,21,44,27,1,4,0,1,
2019,"Eistrat, Pent",Eistrat,"Eistrat, 2019", Pent,BRA,BRA,,19,22,21,43,2,0,6,0,0,
2019,"Lanchbury, Ryan",Lanchbury,"Lanchbury, 2019", Ryan,BUR,BUR,,7,14,29,43,4,4,7,0,0,
2019,"Currie, Damon",Currie,"Currie, 2019", Damon,BUR,BUR,,19,11,30,41,0,4,3,0,3,
2019,"Kitchen, Charlie",Kitchen,"Kitchen, 2019", Charlie,TOR,TOR,,17,20,21,41,2,1,0,2,0,
2019,"Mayea, Brayden",Mayea,"Mayea, 2019", Brayden,SCA,SCA,,16,18,23,41,0,2,5,0,0,
2019,"Pilcher, Luke",Pilcher,"Pilcher, 2019", Luke,BUR,BUR,,10,18,23,41,2,8,6,3,0,
2019,"Orpana, Devyn",Orpana,"Orpana, 2019", Devyn,KWE,KWE,,18,13,27,40,10,0,2,0,0,
2019,"English, Sam",English,"English, 2019", Sam,BUR,BUR,,12,15,24,39,0,2,7,1,1,
2019,"Hanna, Tristan",Hanna,"Hanna, 2019", Tristan,TOR,TOR,,16,18,21,39,6,5,1,1,2,
2019,"Hogg, Graydon",Hogg,"Hogg, 2019", Graydon,WHI,WHI,,15,17,21,38,10,2,1,0,0,
2019,"Bukta, Curtis",Bukta,"Bukta, 2019", Curtis,ORA,ORA,,19,8,29,37,4,0,4,0,2,
2019,"Nanticoke, Tehoka",Nanticoke,"Nanticoke, 2019", Tehoka,SNA,SNA,,12,20,16,36,12,4,6,1,1,
2019,"Vince, Kyle",Vince,"Vince, 2019", Kyle,BRA,BRA,,20,17,19,36,48,0,0,1,2,
2019,"Follows, Henry",Follows,"Follows, 2019", Henry,OAK,OAK,,19,19,16,35,0,2,3,0,1,
2019,"Kennery, Kyle",Kennery,"Kennery, 2019", Kyle,OAK,OAK,,20,9,26,35,28,3,1,0,0,
2019,"Qu, Edward",Qu,"Qu, 2019", Edward,OAK,OAK,,18,15,20,35,29,1,2,0,1,
2019,"Scanlan, Clay",Scanlan,"Scanlan, 2019", Clay,SNA,SNA,,19,7,28,35,2,0,3,1,2,
2019,"Barnable, Ryan",Barnable,"Barnable, 2019", Ryan,WHI,WHI,,16,11,21,32,2,0,3,2,3,
2019,"Lombardi, John",Lombardi,"Lombardi, 2019", John,OAK,OAK,,15,16,15,31,2,1,1,2,0,
2019,"Boudreau, Jake",Boudreau,"Boudreau, 2019", Jake,BRA,BRA,,19,12,18,30,14,0,1,1,1,
2019,"Power, Jakob",Power,"Power, 2019", Jakob,BLS,BLS,,14,22,8,30,51,7,2,0,0,
2019,"Simons, Alec",Simons,"Simons, 2019", Alec,MIM,MIM,,17,7,23,30,52,2,4,1,2,
2019,"X Rosa, Jake",Rosa,"Rosa, 2019", Jake,KWE,KWE,,16,11,19,30,6,0,0,1,0,
2019,"Haigh, Ryan",Haigh,"Haigh, 2019", Ryan,MIM,MIM,,20,4,24,28,23,0,0,0,0,
2019,"Kirwin, Bailey",Kirwin,"Kirwin, 2019", Bailey,BLS,BLS,,19,7,21,28,4,1,6,0,0,
2019,"Brown, Tyler",Brown,"Brown, 2019", Tyler,SCA,SCA,,11,15,12,27,2,3,4,0,0,
2019,"McConvey, Jonathon",McConvey,"McConvey, 2019", Jonathon,MIM,MIM,,20,11,16,27,43,1,0,1,1,
2019,"Mcdonald, Cam",Mcdonald,"Mcdonald, 2019", Cam,ORA,ORA,,18,5,22,27,12,1,3,1,0,
2019,"Vezina, John",Vezina,"Vezina, 2019", John,BRA,BRA,,15,10,17,27,4,3,1,0,0,
2019,"Wolf, Adam",Wolf,"Wolf, 2019", Adam,OAK,OAK,,11,6,21,27,4,1,7,0,0,
2019,"Pipher, Parker",Pipher,"Pipher, 2019", Parker,WHI,WHI,,20,7,19,26,10,0,2,0,0,
2019,"Hiltz, Owen",Hiltz,"Hiltz, 2019", Owen,PET,PET,,12,15,9,24,2,1,5,0,0,
2019,"Robinson, Mike",Robinson,"Robinson, 2019", Mike,PET,PET,,12,17,7,24,8,6,2,0,0,
2019,"Boissonneault, Mathieu",Boissonneault,"Boissonneault, 2019", Mathieu,WHI,WHI,,20,5,18,23,0,0,1,0,3,
2019,"Brand, Carter",Brand,"Brand, 2019", Carter,TOR,TOR,,10,9,14,23,0,0,1,0,0,
2019,"Hill, Kevin Owen",Hill,"Hill, 2019", Kevin Owen,SNA,SNA,,19,9,13,22,14,0,1,0,1,
2019,"LeClair, Sam",LeClair,"LeClair, 2019", Sam,SCA,SCA,,11,10,12,22,0,1,0,0,0,
2019,"X Barrett, Trevor",Barrett,"Barrett, 2019", Trevor,KWE,KWE,,16,5,17,22,0,0,1,1,0,
2019,"Caskenette, Jordan",Caskenette,"Caskenette, 2019", Jordan,ORA,ORA,,18,4,17,21,19,0,1,0,0,
2019,"Eames, Tyler",Eames,"Eames, 2019", Tyler,WHI,WHI,,11,15,6,21,4,2,2,0,0,
2019,"Limoges, Liam",Limoges,"Limoges, 2019", Liam,MIM,MIM,,6,8,13,21,2,1,4,0,1,
2019,"Mayea, Devyn",Mayea,"Mayea, 2019", Devyn,BUR,BUR,,19,8,13,21,56,0,0,0,2,
2019,"Westley, Sean",Westley,"Westley, 2019", Sean,PET,PET,,13,6,15,21,0,1,1,0,0,
2019,"Chisholm, Connor",Chisholm,"Chisholm, 2019", Connor,BLS,BLS,,18,15,4,19,24,6,1,0,0,
2019,"Deaken, Zack",Deaken,"Deaken, 2019", Zack,ORA,ORA,,20,4,15,19,22,0,1,0,0,
2019,"Hendrycks, Tyler",Hendrycks,"Hendrycks, 2019", Tyler,PET,PET,,14,5,14,19,4,1,0,0,1,
2019,"Raposo, Jakson",Raposo,"Raposo, 2019", Jakson,TOR,TOR,,20,10,9,19,30,0,0,1,0,
2019,"Robinson, Luke",Robinson,"Robinson, 2019", Luke,BUR,BUR,,14,11,8,19,0,1,1,0,0,
2019,"Sunderland, Zac",Sunderland,"Sunderland, 2019", Zac,BRA,BRA,,11,6,13,19,0,0,1,0,0,
2019,"John, Ron",John,"John, 2019", Ron,SNA,SNA,,19,11,7,18,8,0,1,5,0,
2019,"McCannell, Mike",McCannell,"McCannell, 2019", Mike,ORA,ORA,,17,6,12,18,2,0,0,0,2,
2019,"Ogilvie, Mitch",Ogilvie,"Ogilvie, 2019", Mitch,PET,PET,,18,8,10,18,12,0,0,0,1,
2019,"Page, Carter",Page,"Page, 2019", Carter,PET,PET,,10,10,8,18,2,1,4,2,0,
2019,"Reid, Jackson",Reid,"Reid, 2019", Jackson,SNA,SNA,,5,7,10,17,0,3,2,0,1,
2019,"X Braniff, Nate",Braniff,"Braniff, 2019", Nate,KWE,KWE,,15,4,13,17,8,0,3,0,0,
2019,"Cordingley, Bryce",Cordingley,"Cordingley, 2019", Bryce,OAK,OAK,,15,6,10,16,4,0,0,0,0,
2019,"Corsi, Matteo",Corsi,"Corsi, 2019", Matteo,BRA,BRA,,9,5,11,16,0,0,2,2,1,
2019,"Kilgour, Kyler",Kilgour,"Kilgour, 2019", Kyler,SCA,SCA,,20,5,11,16,14,0,1,0,0,
2019,"Acchione, Matthew",Acchione,"Acchione, 2019", Matthew,BLS,BLS,,8,3,12,15,4,0,5,0,0,
2019,"Bowhunter, Wake:Riat",Bowhunter,"Bowhunter, 2019", Wake:Riat,SNA,SNA,,9,4,11,15,0,0,0,1,1,
2019,"Hancock, Cam",Hancock,"Hancock, 2019", Cam,KWE,KWE,,17,5,10,15,12,0,0,0,0,
2019,"Lockyer-Fagan, Braedan",Lockyer-Fagan,"Lockyer-Fagan, 2019", Braedan,BLS,BLS,,18,4,11,15,8,1,1,0,0,
2019,"Power, Gordie",Power,"Power, 2019", Gordie,BLS,BLS,,18,9,6,15,44,0,3,0,0,
2019,"Carnduff, William",Carnduff,"Carnduff, 2019", William,WHI,WHI,,20,6,8,14,22,0,0,0,0,
2019,"Friesen, Owen",Friesen,"Friesen, 2019", Owen,SCA,SCA,,19,2,12,14,12,0,3,0,0,
2019,"Searle, Jeremy",Searle,"Searle, 2019", Jeremy,ORA,ORA,,19,7,7,14,0,0,0,0,0,
2019,"(AP) Hickey, Jacob",(AP) Hickey,"(AP) Hickey, 2019", Jacob,TOR,TOR,,7,1,12,13,2,0,0,0,0,
2019,"Dawick AP, Luke",Dawick AP,"Dawick AP, 2019", Luke,OAK,OAK,,5,3,10,13,0,0,1,0,0,
2019,"Donville, Jonathan",Donville,"Donville, 2019", Jonathan,ORA,ORA,,5,5,8,13,0,0,3,0,0,
2019,"Goddard, Curtis",Goddard,"Goddard, 2019", Curtis,OAK,OAK,,15,4,9,13,4,0,1,0,0,
2019,"Grant, Owen",Grant,"Grant, 2019", Owen,TOR,TOR,,15,9,4,13,30,0,0,0,0,
2019,"Hastings, Carter",Hastings,"Hastings, 2019", Carter,PET,PET,,14,1,12,13,2,0,1,0,0,
2019,"James, Dylan",James,"James, 2019", Dylan,PET,PET,,3,0,13,13,0,0,1,0,0,
2019,"Jones, Callum",Jones,"Jones, 2019", Callum,BUR,BUR,,18,2,11,13,35,0,1,0,3,
2019,"Thomson, Keaton",Thomson,"Thomson, 2019", Keaton,MIM,MIM,,18,5,8,13,4,0,0,0,0,
2019,"Conley, Curtis",Conley,"Conley, 2019", Curtis,TOR,TOR,,20,5,7,12,20,0,0,1,1,
2019,"Dawick, Josh",Dawick,"Dawick, 2019", Josh,WHI,WHI,,4,5,7,12,2,0,1,2,0,
2019,"Halls, Tyler",Halls,"Halls, 2019", Tyler,ORA,ORA,,20,6,6,12,2,0,0,1,0,
2019,"Leclair, Liam",Leclair,"Leclair, 2019", Liam,SNA,SNA,,20,4,8,12,14,1,0,0,0,
2019,"McGreggor, Brayden",McGreggor,"McGreggor, 2019", Brayden,PET,PET,,16,4,8,12,7,0,0,0,0,
2019,"Pratt, Dustyn",Pratt,"Pratt, 2019", Dustyn,ORA,ORA,,20,5,7,12,24,0,0,2,0,
2019,"X Borgatti, Andrew",Borgatti,"Borgatti, 2019", Andrew,KWE,KWE,,20,6,6,12,30,0,0,2,0,
2019,"Brown, Travis",Brown,"Brown, 2019", Travis,ORA,ORA,,19,1,10,11,17,0,0,0,0,
2019,"Cresswell, Braydon",Cresswell,"Cresswell, 2019", Braydon,MIM,MIM,,9,7,4,11,35,2,0,0,0,
2019,"Davis, Tyler",Davis,"Davis, 2019", Tyler,SNA,SNA,,7,2,9,11,6,0,1,0,0,
2019,"Dilks, Jamie",Dilks,"Dilks, 2019", Jamie,SNA,SNA,,20,3,8,11,2,0,0,1,0,
2019,"Fannell, Bradley",Fannell,"Fannell, 2019", Bradley,SCA,SCA,,20,6,5,11,18,0,0,1,0,
2019,"Fiegehen, Mike",Fiegehen,"Fiegehen, 2019", Mike,ORA,ORA,,6,4,7,11,0,0,0,0,0,
2019,"Halliwell, Shane",Halliwell,"Halliwell, 2019", Shane,KWE,KWE,,16,6,5,11,16,0,1,0,0,
2019,"McKenna, Jordan",McKenna,"McKenna, 2019", Jordan,ORA,ORA,,15,2,9,11,0,0,0,0,0,
2019,"Moyer, Carson",Moyer,"Moyer, 2019", Carson,BLS,BLS,,9,4,7,11,4,0,1,0,0,
2019,"Trumble, Ben",Trumble,"Trumble, 2019", Ben,BLS,BLS,,17,2,9,11,17,0,0,0,0,
2019,"Whitty, Tom",Whitty,"Whitty, 2019", Tom,SCA,SCA,,20,1,10,11,16,0,0,0,0,
2019,"X Cole, Tanner",Cole,"Cole, 2019", Tanner,KWE,KWE,,10,3,8,11,0,1,0,0,1,
2019,"Yarranton, Max",Yarranton,"Yarranton, 2019", Max,BRA,BRA,,21,6,5,11,2,0,0,0,0,
2019,"Fairey, Josh",Fairey,"Fairey, 2019", Josh,TOR,TOR,,15,5,5,10,0,0,1,0,1,
2019,"Maltby AP, Andrew",Maltby AP,"Maltby AP, 2019", Andrew,BLS,BLS,,10,2,8,10,0,0,2,0,0,
2019,"Salinas, Gutch",Salinas,"Salinas, 2019", Gutch,BUR,BUR,,16,3,7,10,29,0,0,0,1,
2019,"Szabo, Joey",Szabo,"Szabo, 2019", Joey,MIM,MIM,,16,3,7,10,2,0,3,1,0,
2019,"Van Der Zalm, Saul",Van Der Zalm,"Van Der Zalm, 2019", Saul,SCA,SCA,,20,5,5,10,12,0,0,0,0,
2019,"X Mazzuca, Phil",Mazzuca,"Mazzuca, 2019", Phil,OAK,OAK,,20,5,5,10,19,1,0,1,0,
2019,"(AP) Tkachuk, Justin",(AP) Tkachuk,"(AP) Tkachuk, 2019", Justin,TOR,TOR,,14,4,5,9,15,0,0,0,0,
2019,"Aquanno, Connor",Aquanno,"Aquanno, 2019", Connor,SCA,SCA,,5,2,7,9,0,0,0,0,0,
2019,"Argent, Tye",Argent,"Argent, 2019", Tye,BUR,BUR,,7,5,4,9,0,0,0,0,0,
2019,"Booth, Percy",Booth,"Booth, 2019", Percy,SNA,SNA,,17,4,5,9,27,0,0,0,0,
2019,"Duncan, Matthew",Duncan,"Duncan, 2019", Matthew,TOR,TOR,,15,1,8,9,18,0,0,0,1,
2019,"Graham, Rory",Graham,"Graham, 2019", Rory,MIM,MIM,,18,3,6,9,29,0,1,0,0,
2019,"Marinier, Matt",Marinier,"Marinier, 2019", Matt,BUR,BUR,,19,4,5,9,39,0,1,0,0,
2019,"McGregor, Gavin",McGregor,"McGregor, 2019", Gavin,SCA,SCA,,11,2,7,9,0,0,0,0,0,
2019,"Smith, Hodowas",Smith,"Smith, 2019", Hodowas,SNA,SNA,,8,3,6,9,19,0,0,0,1,
2019,"X Balawejder, Daniel",Balawejder,"Balawejder, 2019", Daniel,SNA,SNA,,20,1,8,9,28,1,0,0,1,
2019,"(AP) Boyden, Jack",(AP) Boyden,"(AP) Boyden, 2019", Jack,TOR,TOR,,4,2,6,8,0,0,0,0,0,
2019,"Biles, Tyler",Biles,"Biles, 2019", Tyler,BRA,BRA,,19,1,7,8,53,0,0,0,0,
2019,"Blount-Smith, Owen",Blount-Smith,"Blount-Smith, 2019", Owen,BRA,BRA,,20,2,6,8,16,0,0,1,0,
