Year,player_name,last_name,first_name,team,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists
2019,"McConvey, Thomas",McConvey, Thomas,MIM,,20,48,57,105,28,11,17,4,3
2019,"Waters, Kyle",Waters, Kyle,ORA,,20,42,55,97,18,7,13,0,1
2019,"Williams, Dyson",Williams, Dyson,WHI,,19,36,59,95,8,9,12,0,0
2019,"Van Schepen, Seth",Van Schepen, Seth,BRA,,20,24,62,86,2,9,17,0,0
2019,"Pilon, Kealan",Pilon, Kealan,SCA,,20,34,47,81,2,5,4,0,0
2019,"Hasen, Austin",Hasen, Austin,BRA,,19,34,45,79,14,9,12,1,0
2019,"Pipher, Devin",Pipher, Devin,WHI,,20,19,57,76,37,5,12,1,1
2019,"Zavitz, Carter",Zavitz, Carter,SCA,,18,21,51,72,12,3,6,0,0
2019,"Anderson, Matt",Anderson, Matt,BUR,,18,30,39,69,24,4,13,1,1
2019,"Watson, Dylan",Watson, Dylan,ORA,,19,44,23,67,18,9,9,2,0
2019,"Buck, Tanner",Buck, Tanner,ORA,,19,28,37,65,10,8,12,0,0
2019,"Kurtz, Tye",Kurtz, Tye,KWE,,16,28,37,65,6,8,4,0,1
2019,"Kealey, Corson",Kealey, Corson,TOR,,19,29,35,64,0,3,6,1,2
2019,"X Sykes, Justin",X Sykes, Justin,MIM,,19,28,34,62,0,6,11,0,0
2019,"Knox, Jason",Knox, Jason,BUR,,12,29,32,61,13,7,12,2,1
2019,"McNabb, Jake",McNabb, Jake,SCA,,17,26,33,59,0,6,6,0,0
2019,"Longboat, Travis",Longboat, Travis,SNA,,19,22,35,57,6,2,6,1,3
2019,"X Grenon, Nathan",X Grenon, Nathan,BRA,,19,29,28,57,30,5,5,0,1
2019,"Lemieux, Hunter",Lemieux, Hunter,BUR,,19,22,33,55,19,3,5,0,1
2019,"DiCicco, Trent",DiCicco, Trent,KWE,,17,20,33,53,20,2,9,0,0
2019,"Haigh, Gareth",Haigh, Gareth,MIM,,20,30,23,53,27,10,2,1,1
2019,"Whiteford, James",Whiteford, James,BRA,,20,15,38,53,8,1,4,2,1
2019,"Poitras, Adam",Poitras, Adam,WHI,,19,25,27,52,2,4,5,0,0
2019,"Thomas, Skkylar",Thomas, Skkylar,TOR,,17,13,39,52,4,1,4,0,0
2019,"X Donville, Jonathan",X Donville, Jonathan,MIM,,11,22,30,52,10,2,11,1,1
2019,"Clark, Taggart",Clark, Taggart,TOR,,20,20,31,51,2,1,4,0,1
2019,"X Del Zotto, Scott",X Del Zotto, Scott,BUR,,18,17,34,51,29,3,8,0,0
2019,"Bomberry, Jeremy",Bomberry, Jeremy,SNA,,18,19,31,50,43,3,3,1,2
2019,"Peshko, Johnathan",Peshko, Johnathan,MIM,,19,13,37,50,4,0,12,0,2
2019,"Angus, Marley",Angus, Marley,OAK,,18,20,28,48,0,2,7,0,0
2019,"Walcot, Jaden",Walcot, Jaden,OAK,,16,19,29,48,0,5,4,0,1
2019,"Cook, Tanner",Cook, Tanner,WHI,,13,24,22,46,42,3,5,1,0
2019,"Kearnan, Brady",Kearnan, Brady,TOR,,18,18,28,46,15,1,5,0,0
2019,"Kurtz, Reed",Kurtz, Reed,KWE,,18,20,26,46,6,7,7,1,0
2019,"Simmons, Alex",Simmons, Alex,SCA,,8,19,27,46,4,2,6,0,0
