year,team_name,GP,W,L,T,PTS,GF,GA,DIFF,PPG,SHG,SHGA,PIM
2022,Mimico Mountaineers,20,16,4,0,32,270,198,72,72,29,43,375
2022,Toronto Beaches,20,15,5,0,30,237,169,68,41,18,34,279
2022,Whitby Warriors,20,14,6,0,28,249,163,86,38,16,45,348
2022,Oakville Buzz,20,13,7,0,26,168,152,16,48,10,28,303
2022,Orangeville Northmen,20,13,7,0,26,200,156,44,36,8,38,334
2022,St. Catharines Athletics,20,10,10,0,20,185,200,-15,55,18,34,332
2022,Peterborough Lakers,20,10,10,0,20,205,203,2,54,18,41,227
2022,Burlington Chiefs,20,10,10,0,20,206,169,37,43,7,37,292
2022,Six Nations Arrows,20,5,15,0,10,159,217,-58,42,9,70,495
2022,Brampton Excelsiors,20,3,17,0,6,134,224,-90,28,9,56,451
2022,Kitchener-Waterloo,20,1,19,0,2,121,283,-162,26,17,57,304
2019,Orangeville Northmen,20,16,3,1,33,191,128,,,,,
2019,Burlington Chiefs,20,16,4,0,32,192,131,,,,,
2019,St. Catharines Athletics,20,15,5,0,30,188,107,,,,,
2019,Brampton Excelsiors,20,13,7,0,26,182,148,,,,,
2019,Whitby Warriors,20,12,7,1,25,180,151,,,,,
2019,Six Nations Arrows,20,11,9,0,22,178,149,,,,,
2019,Oakville Buzz,20,9,11,0,18,142,162,,,,,
2019,Mimico Mountaineers,20,9,11,0,18,197,190,,,,,
2019,Toronto Beaches,20,9,11,0,18,179,172,,,,,
2019,Peterborough Lakers,20,6,14,0,12,96,179,,,,,
2019,Kitchener-Waterloo Braves,20,3,17,0,6,135,178,,,,,
2019,Barrie Lakeshores,20,0,20,0,0,82,247,,,,,
2018,Burlington Chiefs,20,15,5,0,30,217,160,,,,,
2018,Brampton Excelsiors,20,14,6,0,28,194,151,,,,,
2018,St. Catharines Athletics,20,13,7,0,26,181,144,,,,,
2018,Orangeville Northmen,20,12,8,0,24,169,142,,,,,
2018,Whitby Warriors,20,12,8,0,24,168,156,,,,,
2018,Six Nations Arrows,20,11,9,0,22,190,152,,,,,
2018,Mimico Mountaineers,20,11,9,0,22,163,168,,,,,
2018,Toronto Beaches,20,9,11,0,18,175,177,,,,,
2018,Kitchener-Waterloo Braves,20,8,12,0,16,173,183,,,,,
2018,Peterborough Lakers,20,3,17,0,6,127,215,,,,,
2018,Barrie Lakeshores,20,2,18,0,4,88,197,,,,,
2017,Six Nations Arrows,20,18,2,0,36,194,121,,,,,
2017,Brampton Excelsiors,20,14,6,0,28,249,185,,,,,
2017,Mimico Mountaineers,20,12,8,0,24,185,147,,,,,
2017,Whitby Warriors,20,10,9,1,21,202,206,,,,,
2017,Burlington Chiefs,20,10,9,1,21,196,187,,,,,
2017,Orangeville Northmen,20,10,9,1,21,145,158,,,,,
2017,Kitchener-Waterloo Braves,20,8,11,1,17,160,183,,,,,
2017,Toronto Beaches,20,8,11,1,17,181,210,,,,,
2017,St. Catharines Athletics,20,8,12,0,16,162,166,,,,,
2017,Peterborough Lakers,20,5,13,2,12,152,197,,,,,
2017,Barrie Lakeshores,20,3,16,1,7,131,197,,,,,
2016,Six Nations Arrows,20,17,3,0,34,246,126,,,,,
2016,Orangeville Northmen,20,14,5,1,29,197,165,,,,,
2016,Brampton Excelsiors,20,12,6,2,26,213,176,,,,,
2016,Mimico Mountaineers,20,12,8,0,24,156,171,,,,,
2016,Burlington Chiefs,20,11,8,1,23,186,186,,,,,
2016,Whitby Warriors,20,10,10,0,20,173,162,,,,,
2016,Kitchener-Waterloo Braves,20,9,10,1,19,153,160,,,,,
2016,St. Catharines Athletics,20,6,13,1,13,154,209,,,,,
2016,Barrie Lakeshores,20,6,14,0,12,152,177,,,,,
2016,Toronto Beaches,20,5,15,0,10,155,208,,,,,
2016,Peterborough Lakers,20,5,15,0,10,153,198,,,,,
2015,Six Nations Arrows,20,17,3,0,34,216,119,,,,,
2015,Peterborough Lakers,20,15,5,0,30,211,175,,,,,
2015,Brampton Excelsiors,20,13,7,0,26,201,174,,,,,
2015,Whitby Warriors,20,10,8,2,22,187,157,,,,,
2015,Orangeville Northmen,20,9,9,2,20,171,164,,,,,
2015,Toronto Beaches,20,9,10,1,19,187,179,,,,,
2015,Barrie Lakeshores,20,9,10,1,19,160,176,,,,,
2015,Burlington Chiefs,20,9,11,0,18,177,183,,,,,
2015,Kitchener-Waterloo Braves,20,6,13,1,13,149,194,,,,,
2015,Mimico Mountaineers,20,5,14,1,11,143,208,,,,,
2015,St. Catharines Athletics,20,4,16,0,8,150,223,,,,,
2014,Six Nations Arrows,20,16,4,0,32,231,131,,,,,
2014,Brampton Excelsiors,20,15,5,0,30,248,179,,,,,
2014,Orangeville Northmen,20,12,8,0,24,196,154,,,,,
2014,Peterborough Lakers,20,12,8,0,24,225,201,,,,,
2014,Whitby Warriors,20,12,8,0,24,223,177,,,,,
2014,Kitchener-Waterloo Braves,20,12,8,0,24,189,180,,,,,
2014,Burlington Chiefs,20,9,11,0,18,202,192,,,,,
2014,St. Catharines Athletics,20,8,12,0,16,175,192,,,,,
2014,Barrie Lakeshores,20,8,12,0,16,190,224,,,,,
2014,Toronto Beaches,20,6,14,0,12,160,223,,,,,
2014,Mississauga Tomahawks,20,0,20,0,0,94,280,,,,,
2013,Six Nations Arrows,20,17,3,0,34,243,141,,,,,
2013,Whitby Warriors,20,15,5,0,30,223,147,, ,,,
2013,Burlington Chiefs,20,14,5,1,29,225,176,,,,,
2013,Brampton Excelsiors,20,13,7,0,26,216,195,,,,,
2013,Orangeville Northmen,20,12,8,0,24,212,187,,,,,
2013,Peterborough Lakers,20,11,9,0,22,229,192,,,,,
2013,Barrie Lakeshores,20,10,10,0,20,186,191,,,,,
2013,Kitchener-Waterloo Braves,20,7,12,1,15,184,190,,,,,
2013,Toronto Beaches,20,6,14,0,12,164,215,,,,,
2013,St. Catharines Athletics,20,3,17,0,6,113,209,,,,,
2013,Mississauga Tomahawks,20,1,19,0,2,114,266,,,,,
2012,Six Nations Arrows,20,17,3,0,34,271,152,,,,,
2012,Whitby Warriors,20,17,3,0,34,262,147,,,,,
2012,Orangeville Northmen,20,16,4,0,32,256,148,,,,,
2012,Peterborough Lakers,20,14,5,1,29,240,201,,,,,
2012,Kitchener-Waterloo Braves,20,11,8,1,23,215,199,,,,,
2012,Brampton Excelsiors,20,10,9,1,21,229,213,,,,,
2012,Burlington Chiefs,20,10,9,1,21,209,217,,,,,
2012,St. Catharines Athletics,20,5,14,1,11,177,249,,,,,
2012,Toronto Beaches,20,4,15,1,9,147,234,,,,,
2012,Barrie Lakeshores,20,3,17,0,6,174,247,,,,,
2012,Mississauga Tomahawks,20,0,20,0,0,140,313,,,,,
2011,Orangeville Northmen,22,19,3,0,38,242,147,,,,,
2011,Six Nations Arrows,22,18,4,0,36,286,158,,,,,
2011,Whitby Warriors,22,16,6,0,32,285,163,,,,,
2011,Brampton Excelsiors,22,14,8,0,28,250,208,,,,,
2011,Peterborough Lakers,22,13,8,1,27,210,198,,,,,
2011,St. Catharines Athletics,22,12,9,1,25,228,195,,,,,
2011,Burlington Chiefs,22,11,11,0,22,205,208,,,,,
2011,Akwesasne Indians,22,9,13,0,18,230,242,,,,,
2011,Kitchener-Waterloo Braves,22,7,15,0,14,186,238,,,,,
2011,Barrie Lakeshores,22,7,15,0,14,187,270,,,,,
2011,Toronto Beaches,22,3,19,0,6,158,275,,,,,
2011,Mississauga Tomahawks,22,2,20,0,4,130,295,,,,,
2010,Orangeville Northmen,22,21,1,0,42,268,116,,,,,
2010,Six Nations Arrows,22,18,4,0,36,239,115,,,,,
2010,Whitby Warriors,22,17,5,0,34,249,155,,,,,
2010,St. Catharines Athletics,22,16,6,0,32,267,183,,,,,
2010,Burlington Chiefs,22,12,10,0,24,253,211,,,,,
2010,Brampton Excelsiors,22,12,10,0,24,197,172,,,,,
2010,Akwesasne Indians,22,11,10,1,23,244,260,,,,,
2010,Peterborough Lakers,22,9,13,0,18,196,205,,,,,
2010,Kitchener-Waterloo Braves,22,6,16,0,12,187,262,,,,,
2010,Barrie Lakeshores,22,4,18,0,8,174,270,,,,,
2010,Toronto Beaches,22,3,18,1,7,167,267,,,,,
2010,Mississauga Tomahawks,22,2,20,0,4,136,361,,,,,
2009,Orangeville Northmen,22,19,2,1,39,303,138,,,,,
2009,Brampton Excelsiors,22,18,3,1,37,226,145,,,,,
2009,Burlington Chiefs,22,17,5,0,34,284,200,,,,,
2009,Six Nations Arrows,22,15,6,1,31,235,170,,,,,
2009,St. Catharines Athletics,22,14,8,0,28,248,198,,,,,
2009,Peterborough Lakers,22,11,11,0,22,225,217,,,,,
2009,Akwesasne Indians,22,8,13,1,17,204,255,,,,,
2009,Barrie Lakeshores,22,8,14,0,16,188,215,,,,,
2009,Whitby Warriors,22,8,14,0,16,228,232,,,,,
2009,Kitchener-Waterloo Braves,22,7,15,0,14,183,218,,,,,
2009,Toronto Beaches,22,4,18,0,8,154,297,,,,,
2009,Mississauga Tomahawks,22,1,21,0,2,137,330,,,,,
2008,Orangeville Northmen,22,19,3,0,38,207,114,,,,,
2008,Six Nations Arrows,22,16,6,0,32,195,144,,,,,
2008,St. Catharines Athletics,22,15,5,2,32,204,130,,,,,
2008,Akwesasne Indians,22,15,6,1,31,190,136,,,,,
2008,Burlington Chiefs,22,13,9,0,26,192,145,,,,,
2008,Kitchener-Waterloo Braves,22,11,11,0,22,141,141,,,,,
2008,Peterborough Lakers,22,10,10,2,22,147,171,,,,,
2008,Brampton Excelsiors,22,10,11,1,21,130,127,,,,,
2008,Whitby Warriors,22,7,14,1,15,159,205,,,,,
2008,Orillia Rama-Hammond ,22,6,15,1,13,121,199,,,,,
2008,Toronto Beaches,22,4,18,0,8,124,199,,,,,
2008,Mississauga Tomahawks,22,2,20,0,4,113,212,,,,,
