PLAYER,first_name,last_name,player_new 1 3,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
FINLAY THOMSON,Finlay,Thomson,,Mimico Mountaineers,F,19,52,72,124,15,25,24,5,5
BROCK HALEY,Brock,Haley,,Whitby Warriors,F,15,65,41,106,4,9,11,4,2
WILLEM FIRTH,Willem,Firth,,Toronto Beaches,F,19,50,56,106,2,8,12,4,2
ADAM POITRAS,Adam,Poitras,,Whitby Warriors,F,17,36,60,96,14,4,15,6,3
CARSON MOYER,Carson,Moyer,,Mimico Mountaineers,T,20,46,43,89,18,6,4,5,4
ZACH THOMPSON,Zach,Thompson,,Peterborough Lakers,F,19,30,53,83,10,9,15,3,3
WILL SHEEHAN,Will,Sheehan,,Oakville Buzz,F,19,43,38,81,0,18,13,1,1
PARKER PIPHER,Parker,Pipher,,Whitby Warriors,F,19,34,47,81,25,5,15,0,2
KEATON ZAVITZ,Keaton,Zavitz,,St. Catharines Athletics,F,20,29,51,80,17,9,24,7,2
JACKSON WEBSTER,Jackson,Webster,,St. Catharines Athletics,F,18,30,46,76,14,14,22,2,4
COLTRANE TYSON,Coltrane,Tyson,,Burlington Chiefs,F,17,33,40,73,10,13,10,1,1
TYLER DAVIS,Tyler,Davis,,Six Nations Arrows,F,20,22,51,73,29,9,17,0,1
LIAM MATTHEWS,Liam,Matthews,,Orangeville Northmen,F,18,31,37,68,10,5,7,2,1
MATTHEW COLLISON,Matthew,Collison,,Toronto Beaches,F,17,26,39,65,6,8,10,1,4
BRAEDON SARIS,Braedon,Saris,,Burlington Chiefs,Ð,13,31,32,63,2,6,10,0,0
DANIEL CLARK,Daniel,Clark,,Peterborough Lakers,F,14,26,37,63,4,7,10,2,5
WILL MACLEOD,Will,Macleod,,Burlington Chiefs,F,18,27,34,61,2,3,11,0,1
OWEN HILTZ,Owen,Hiltz,,Peterborough Lakers,F,13,26,34,60,6,6,8,5,5
JUSTIN SYKES,Justin,Sykes,,Mimico Mountaineers,T,16,25,34,59,8,7,13,5,2
CURTIS BUKTA,Curtis,Bukta,,Mimico Mountaineers,T,20,18,40,58,4,4,14,1,4
THUNDER HILL,Thunder,Hill,,Six Nations Arrows,F,20,29,28,57,4,11,10,2,2
ROSS HILL,Ross,Hill,,Six Nations Arrows,F,20,26,31,57,6,7,13,1,0
GREG ELIJAH-BROWN,Greg,Elijah-brown,,Burlington Chiefs,F,19,23,33,56,0,4,12,0,0
CLAY SCANLON,Clay,Scanlon,,St. Catharines Athletics,F,16,22,34,56,15,9,11,0,3
BOWIE HORSMAN,Bowie,Horsman,,Brampton Excelsiors,F,20,19,36,55,0,3,14,2,3
JAMESON BUCKTOOTH,Jameson,Bucktooth,,Orangeville Northmen,F,11,23,29,52,6,9,10,0,1
JUSTIN LEE,Justin,Lee,,Mimico Mountaineers,T,20,25,25,50,30,7,13,1,1
CARTER PAGE,Carter,Page,,Peterborough Lakers,F,16,16,33,49,6,5,7,1,3
TYE STEENHUIS,Tye,Steenhuis,,St. Catharines Athletics,F,17,26,22,48,14,7,10,3,1
LUCAS DUDEMAINE,Lucas,Dudemaine,,Mimico Mountaineers,T,19,20,27,47,31,2,9,1,1
ISIAH MORAN-WEEKES,Isiah,Moran-weekes,,Mimico Mountaineers,F,13,26,18,44,4,8,5,3,4
TY JESSO,Ty,Jesso,,Kitchener-Waterloo,Ð,16,13,30,43,4,6,11,1,2
DAVID ANDERSON,David,Anderson,,Toronto Beaches,F,14,18,24,42,2,2,5,2,3
TREY DEERE,Trey,Deere,,Orangeville Northmen,F,14,18,24,42,31,3,5,0,1
BRIAN JACKMAN,Brian,Jackman,,Oakville Buzz,F,17,17,25,42,10,7,10,3,0
DANTE KULAS,Dante,Kulas,,Peterborough Lakers,F,11,16,26,42,22,3,4,3,3
JEREMY SEARLE,Jeremy,Searle,,Orangeville Northmen,T,19,18,23,41,23,3,7,1,2
JACOB HICKEY,Jacob,Hickey,,Toronto Beaches,F,15,17,24,41,0,4,8,0,1
ERIC WARD,Eric,Ward,,Brampton Excelsiors,F,17,15,26,41,21,9,7,0,1
JOHNATHAN PESHKO,Johnathan,Peshko,,Mimico Mountaineers,T,8,14,27,41,4,4,10,2,3
BROOKS ENGLISH,Brooks,English,,Burlington Chiefs,F,14,8,33,41,0,0,9,0,0
JAKSON RAPOSO,Jakson,Raposo,,Toronto Beaches,F,18,22,18,40,22,3,2,3,2
KOLETON MARQUIS,Koleton,Marquis,,Orangeville Northmen,F,11,19,21,40,6,4,8,0,0
GABRIEL SORICHETTI,Gabriel,Sorichetti,,Whitby Warriors,D,11,15,25,40,4,7,2,2,1
NOAH MILLSAP,Noah,Millsap,,Orangeville Northmen,T,18,12,28,40,20,1,3,1,2
EDWARD QU,Edward,Qu,,Oakville Buzz,F,16,18,21,39,29,5,6,1,0
CAMERON ACCHIONE,Cameron,Acchione,,Toronto Beaches,F,13,14,24,38,11,4,4,1,2
GAVIN HOWARD,Gavin,Howard,,St. Catharines Athletics,F,14,20,17,37,0,6,10,0,1
ERIC MCDONALD,Eric,Mcdonald,,Oakville Buzz,T,19,14,23,37,14,6,7,0,1
LOGAN DONNELLY,Logan,Donnelly,,Brampton Excelsiors,T,20,14,23,37,50,2,5,2,0
ADRIAN CHANNELL,Adrian,Channell,,Brampton Excelsiors,F,19,18,17,35,10,1,4,0,2
ERICH ACTON,Erich,Acton,,Brampton Excelsiors,F,18,17,17,34,14,3,6,1,0
RILEY KNOX,Riley,Knox,,Whitby Warriors,F,18,7,26,33,10,2,3,2,1
TEHARONHIORENS MCCOMBER,Teharonhiorens,Mccomber,,Burlington Chiefs,F,16,13,19,32,16,2,2,0,0
DAYLIN JOHN-HILL,Daylin,John-hill,,Six Nations Arrows,F,15,12,20,32,18,1,7,0,0
ETHAN HARKINS,Ethan,Harkins,,Brampton Excelsiors,F,20,11,21,32,2,2,4,1,1
RILEY FORD,Riley,Ford,,Kitchener-Waterloo,Ð,18,9,23,32,2,2,3,1,5
COLE TEEPLE,Cole,Teeple,,Orangeville Northmen,F,19,7,25,32,6,0,5,0,1
