PLAYER,TEAM,#,POS.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
BROCK HALEY,Whitby Warriors,22,F,14,59,40,99,7,10,4,2,4,16
FINLAY THOMSON,Mimico Mountaineers,44,F,17,50,64,114,25,22,5,5,15,11
WILLEM FIRTH,Toronto Beaches,14,F,19,50,56,106,8,12,4,2,2,10
CARSON MOYER,Mimico Mountaineers,11,T,18,41,39,80,6,4,5,4,18,6
WILL SHEEHAN,Oakville Buzz,14,F,18,40,36,76,17,12,0,1,0,8
ADAM POITRAS,Whitby Warriors,51,F,16,34,57,91,4,13,6,3,12,6
PARKER PIPHER,Whitby Warriors,25,F,18,32,45,77,5,15,0,2,25,5
COLTRANE TYSON,Burlington Chiefs,"23, 9",F,16,30,38,68,13,10,1,0,10,3
BRAEDON SARIS,Burlington Chiefs,21,–,12,30,30,60,6,9,0,0,2,6
KEATON ZAVITZ,St. Catharines Athletics,91,F,19,28,44,72,9,19,6,1,17,4
THUNDER HILL,Six Nations Arrows,66,F,18,28,27,55,11,10,2,2,4,3
ZACH THOMPSON,Peterborough Lakers,23,F,18,27,52,79,9,14,3,3,6,3
LIAM MATTHEWS,Orangeville Northmen,7,F,17,27,36,63,4,7,1,1,10,3
JACKSON WEBSTER,St. Catharines Athletics,33,F,17,26,44,70,13,20,1,4,14,4
MATTHEW COLLISON,Toronto Beaches,"23, 44",F,17,26,39,65,8,10,1,4,6,3
DANIEL CLARK,Peterborough Lakers,22,F,13,26,33,59,7,9,2,3,4,5
WILL MACLOED,Burlington Chiefs,"12, 16, 8",F,17,26,33,59,3,11,0,1,2,4
ROSS HILL,Six Nations Arrows,16,F,18,26,29,55,7,13,1,0,6,3
JUSTIN SYKES,Mimico Mountaineers,22,T,15,25,34,59,7,13,5,2,8,4
OWEN HILTZ,Peterborough Lakers,"22, 25",F,12,25,31,56,6,7,5,4,6,4
TYE STEENHUIS,St. Catharines Athletics,9,F,16,25,20,45,7,10,3,1,14,4
GREG ELIJAH-BROWN,Burlington Chiefs,"2, 26",F,18,22,32,54,4,12,0,0,0,3
JUSTIN LEE,Mimico Mountaineers,16,T,18,22,22,44,6,11,1,1,26,3
JAKSON RAPOSO,Toronto Beaches,"27, 55",F,18,22,18,40,3,2,3,2,22,2
ISIAH MORAN-WEEKES,Mimico Mountaineers,12,F,11,22,14,36,6,5,3,4,4,3
CLAY SCANLON,St. Catharines Athletics,81,F,15,21,30,51,8,10,0,3,15,3
JAMESON BUCKTOOTH,Orangeville Northmen,44,F,10,21,27,48,8,10,0,1,4,4
TYLER DAVIS,Six Nations Arrows,8,F,18,20,50,70,9,17,0,1,27,4
BOWIE HORSMAN,Brampton Excelsiors,18,F,18,19,32,51,3,14,2,3,0,0
TREY DEERE,Orangeville Northmen,91,F,13,18,24,42,3,5,0,1,31,2
DAVID ANDERSON,Toronto Beaches,"15, 26, 27, 28",F,14,18,24,42,2,5,2,3,2,2
EDWARD QU,Oakville Buzz,"13, 15, 16",F,16,18,21,39,5,6,1,0,29,1
JEREMY SEARLE,Orangeville Northmen,21,T,18,18,20,38,3,5,1,1,23,3
JACOB HICKEY,Toronto Beaches,"20, 61",F,15,17,24,41,4,8,0,1,0,2
BRIAN JACKMAN,Oakville Buzz,18,F,16,17,22,39,7,8,3,0,10,1
LUCAS DUDEMAINE,Mimico Mountaineers,24,T,17,17,22,39,2,7,1,1,29,2
CURTIS BUKTA,Mimico Mountaineers,88,T,18,16,39,55,4,14,1,4,2,1
CARTER PAGE,Peterborough Lakers,6,F,15,16,33,49,5,7,1,3,6,1
DANTE KULAS,Peterborough Lakers,8,F,11,16,26,42,3,4,3,3,22,1
XAVIER TAYLOR,St. Catharines Athletics,42,F,11,16,7,23,4,1,1,0,15,2
GABRIEL SORICHETTI,Whitby Warriors,8,D,10,15,24,39,7,1,2,1,4,1
KOLETON MARQUIS,Orangeville Northmen,"24, 55",F,10,15,19,34,4,7,0,0,6,3
GAVIN HOWARD,St. Catharines Athletics,17,F,13,15,16,31,4,9,0,1,0,1
ERICH ACTON,Brampton Excelsiors,24,F,16,15,16,31,3,5,1,0,12,0
CHRIS RATHWELL,Kitchener-Waterloo,19,–,14,15,13,28,2,5,2,1,6,1
JOHNATHAN PESHKO,Mimico Mountaineers,21,T,8,14,27,41,4,10,2,3,4,2
CAMERON ACCHIONE,Toronto Beaches,7,F,13,14,24,38,4,4,1,2,11,1
ERIC MCDONALD,Oakville Buzz,5,T,18,14,22,36,6,7,0,1,14,1
ADRIAN CHANNELL,Brampton Excelsiors,21,F,17,14,14,28,1,2,0,2,8,1
MITCHELL VANEVERY,Six Nations Arrows,93,F,17,14,13,27,5,4,1,0,2,1
TY JESSO,Kitchener-Waterloo,13,–,16,13,30,43,6,11,1,2,4,1
ERIC WARD,Brampton Excelsiors,16,F,15,13,22,35,7,5,0,1,21,1
LOGAN DONNELLY,Brampton Excelsiors,5,T,18,13,22,35,2,4,2,0,50,0
ALEX GASTON,Toronto Beaches,"6, 66",F,12,13,13,26,0,1,1,1,19,1
AIDEN LONG,Orangeville Northmen,81,F,15,13,3,16,0,0,0,0,23,2
NOAH MILLSAP,Orangeville Northmen,10,T,17,12,24,36,1,2,1,1,18,1
TEHARONHIORENS MCCOMBER,Burlington Chiefs,4,F,15,12,19,31,2,2,0,0,16,0
MICHAEL ANDERSSON,Whitby Warriors,"15, 19",F,11,12,18,30,4,3,0,4,0,1
ALEXANDER MARINIER,Burlington Chiefs,13,D,6,12,11,23,2,4,0,1,4,2
TYLER HENDRYCKS,Peterborough Lakers,2,F,12,12,9,21,2,4,0,0,6,1
SHANE HALLIWELL,Kitchener-Waterloo,18,–,9,11,15,26,0,5,4,3,23,1
LOWEN MARTIN,Kitchener-Waterloo,10,–,14,11,15,26,5,5,0,1,6,0
ONENIOTEKOWA MARACLE,Six Nations Arrows,"72, 81, 88",F,10,11,11,22,1,0,1,0,11,1
RYAN BROOKS,Kitchener-Waterloo,27,–,14,11,11,22,2,5,1,0,2,0
GEORGE PITT,Burlington Chiefs,"2, 4, 5, 8",F,13,10,20,30,3,2,0,0,6,1
DAYLIN JOHN-HILL,Six Nations Arrows,22,F,13,10,19,29,1,6,0,0,18,1
ETHAN HARKINS,Brampton Excelsiors,20,F,18,10,19,29,1,4,1,1,2,0
MICHAEL BLAYMIRES,Peterborough Lakers,11,F,14,10,17,27,1,6,0,0,0,1
NICK DILAURO,Peterborough Lakers,12,"F, T",14,10,11,21,1,2,0,1,0,0
JACK OLDMAN,Whitby Warriors,42,F,16,10,8,18,0,0,0,0,11,0
JOSH ROSA,Kitchener-Waterloo,3,F,7,10,7,17,2,1,4,2,0,1
