PLAYER,TEAM,POS.,GP,G,A,PTS,PIM,PPG,PPA,SHG,SHA
FINLAY THOMSON,Mimico Mountaineers,F,19,52,72,124,15,25,24,5,5
BROCK HALEY,Whitby Warriors,F,16,74,46,120,4,11,11,4,2
WILLEM FIRTH,Toronto Beaches,F,19,50,56,106,2,8,12,4,2
ADAM POITRAS,Whitby Warriors,F,18,40,64,104,14,4,15,6,3
CARSON MOYER,Mimico Mountaineers,T,20,46,43,89,18,6,4,5,4
ZACH THOMPSON,Peterborough Lakers,F,20,31,55,86,12,9,16,3,3
PARKER PIPHER,Whitby Warriors,F,20,37,48,85,25,5,16,0,2
WILL SHEEHAN,Oakville Buzz,F,19,43,38,81,0,18,13,1,1
KEATON ZAVITZ,St. Catharines Athletics,F,20,29,51,80,17,9,24,7,2
JACKSON WEBSTER,St. Catharines Athletics,F,18,30,46,76,14,14,22,2,4
COLTRANE TYSON,Burlington Chiefs,F,17,33,40,73,10,13,10,1,1
TYLER DAVIS,Six Nations Arrows,F,20,22,51,73,29,9,17,0,1
LIAM MATTHEWS,Orangeville Northmen,F,19,33,38,71,10,5,7,2,1
MATTHEW COLLISON,Toronto Beaches,F,18,28,41,69,8,10,10,1,4
DANIEL CLARK,Peterborough Lakers,F,15,27,38,65,11,7,11,2,5
BRAEDON SARIS,Burlington Chiefs,–,13,31,32,63,2,6,10,0,0
OWEN HILTZ,Peterborough Lakers,F,14,26,36,62,6,6,10,5,5
WILL MACLEOD,Burlington Chiefs,F,18,27,34,61,2,3,11,0,1
JUSTIN SYKES,Mimico Mountaineers,T,16,25,34,59,8,7,13,5,2
CURTIS BUKTA,Mimico Mountaineers,T,20,18,40,58,4,4,14,1,4
THUNDER HILL,Six Nations Arrows,F,20,29,28,57,4,11,10,2,2
ROSS HILL,Six Nations Arrows,F,20,26,31,57,6,7,13,1,0
GREG ELIJAH-BROWN,Burlington Chiefs,F,19,23,33,56,0,4,12,0,0
CLAY SCANLON,St. Catharines Athletics,F,16,22,34,56,15,9,11,0,3
BOWIE HORSMAN,Brampton Excelsiors,F,20,19,36,55,0,3,14,2,3
JAMESON BUCKTOOTH,Orangeville Northmen,F,12,24,30,54,6,9,10,0,1
CARTER PAGE,Peterborough Lakers,F,17,17,34,51,6,6,7,1,3
JUSTIN LEE,Mimico Mountaineers,T,20,25,25,50,30,7,13,1,1
TYE STEENHUIS,St. Catharines Athletics,F,17,26,22,48,14,7,10,3,1
TY JESSO,Kitchener-Waterloo,–,18,13,35,48,4,6,14,1,2
LUCAS DUDEMAINE,Mimico Mountaineers,T,19,20,27,47,31,2,9,1,1
TREY DEERE,Orangeville Northmen,F,15,19,28,47,31,3,6,0,1
GABRIEL SORICHETTI,Whitby Warriors,D,12,17,29,46,4,7,3,2,1
JACOB HICKEY,Toronto Beaches,F,16,19,26,45,0,6,8,0,1
ISIAH MORAN-WEEKES,Mimico Mountaineers,F,13,26,18,44,4,8,5,3,4
JEREMY SEARLE,Orangeville Northmen,T,20,20,23,43,25,4,7,1,2
KOLETON MARQUIS,Orangeville Northmen,F,12,19,24,43,8,4,9,0,0
DAVID ANDERSON,Toronto Beaches,F,15,19,24,43,6,3,5,2,3
BRIAN JACKMAN,Oakville Buzz,F,17,17,25,42,10,7,10,3,0
DANTE KULAS,Peterborough Lakers,F,11,16,26,42,22,3,4,3,3
CAMERON ACCHIONE,Toronto Beaches,F,14,16,25,41,11,4,5,1,2
ERIC WARD,Brampton Excelsiors,F,17,15,26,41,21,9,7,0,1
JOHNATHAN PESHKO,Mimico Mountaineers,T,8,14,27,41,4,4,10,2,3
NOAH MILLSAP,Orangeville Northmen,T,19,12,29,41,20,1,3,1,2
BROOKS ENGLISH,Burlington Chiefs,F,14,8,33,41,0,0,9,0,0
JAKSON RAPOSO,Toronto Beaches,F,18,22,18,40,22,3,2,3,2
EDWARD QU,Oakville Buzz,F,16,18,21,39,29,5,6,1,0
GAVIN HOWARD,St. Catharines Athletics,F,14,20,17,37,0,6,10,0,1
ERIC MCDONALD,Oakville Buzz,T,19,14,23,37,14,6,7,0,1
LOGAN DONNELLY,Brampton Excelsiors,T,20,14,23,37,50,2,5,2,0
Powered by Gamesheet Inc.,,,,,,,,,,,
ERICH ACTON,Brampton Excelsiors,18,17,17,34,14,,3,6,1,0
RILEY KNOX,Whitby Warriors,18,7,26,33,10,,2,3,2,1
TEHARONHIORENS MCCOMBER,Burlington Chiefs,16,13,19,32,16,,2,2,0,0
DAYLIN JOHN-HILL,Six Nations Arrows,15,12,20,32,18,,1,7,0,0
ETHAN HARKINS,Brampton Excelsiors,20,11,21,32,2,,2,4,1,1
RILEY FORD,Kitchener-Waterloo,18,9,23,32,2,,2,3,1,5
COLE TEEPLE,Orangeville Northmen,19,7,25,32,6,,0,5,0,1
CHUCK RAWSON,Burlington Chiefs,10,7,24,31,4,,2,3,0,1
MITCHELL VANEVERY,Six Nations Arrows,19,15,15,30,2,,5,5,1,0
MICHAEL ANDERSSON,Whitby Warriors,11,12,18,30,0,,4,3,0,4
MICHAEL BLAYMIRES,Peterborough Lakers,15,12,18,30,2,,1,6,1,0
GEORGE PITT,Burlington Chiefs,13,10,20,30,6,,3,2,0,0
LUKE DAWICK,Oakville Buzz,17,9,21,30,0,,4,9,1,1
CAM SANDERSON,Orangeville Northmen,11,7,23,30,4,,3,3,1,0
JAKE DAWICK,Oakville Buzz,14,7,23,30,6,,0,6,1,2
CHRIS RATHWELL,Kitchener-Waterloo,14,15,13,28,6,,2,5,2,1
ZACH MILLER,Toronto Beaches,14,9,19,28,6,,1,1,2,2
ALEX GASTON,Toronto Beaches,12,13,13,26,19,,0,1,1,1
SHANE HALLIWELL,Kitchener-Waterloo,9,11,15,26,23,,0,5,4,3
LOWEN MARTIN,Kitchener-Waterloo,14,11,15,26,6,,5,5,0,1
JACK BUDWAY,Whitby Warriors,13,7,19,26,6,,1,5,0,1
ALEX ROUSSEL AP,Mimico Mountaineers,14,9,16,25,8,,3,4,1,3
EFRAIN BARRETO,St. Catharines Athletics,13,3,22,25,21,,1,8,0,1
XAVIER TAYLOR,St. Catharines Athletics,11,16,7,23,15,,4,1,1,0
ALEXANDER MARINIER,Burlington Chiefs,6,12,11,23,4,,2,4,0,1
NICK DILAURO,Peterborough Lakers,15,11,12,23,0,,1,2,0,1
ONENIOTEKOWA MARACLE,Six Nations Arrows,10,11,11,22,11,,1,0,1,0
RYAN BROOKS,Kitchener-Waterloo,14,11,11,22,2,,2,5,1,0
MASON HILL,Six Nations Arrows,20,6,16,22,14,,3,6,0,2
TYLER HENDRYCKS,Peterborough Lakers,13,12,9,21,8,,2,4,0,0
JAKE DARLISON,Whitby Warriors,18,7,13,20,10,,0,0,0,1
JACK OLDMAN,Whitby Warriors,17,10,9,19,11,,0,0,0,0
LUCAS FERRIERA,Brampton Excelsiors,7,4,15,19,2,,3,2,1,3
MARK WATTERS ,Mimico Mountaineers,10,4,15,19,0,,0,6,0,0
LUCAS LITTLEJOHN,Whitby Warriors,14,9,9,18,2,,1,1,1,0
JACOB POWER,Burlington Chiefs,9,6,12,18,14,,5,2,0,0
JOSH ROSA,Kitchener-Waterloo,7,10,7,17,0,,2,1,4,2
AMOS WHITCOMB,Oakville Buzz,7,7,10,17,0,,2,3,0,2
NICK CROWLEY,Peterborough Lakers,16,7,10,17,18,,0,1,0,1
GAVIIN SNOW,St. Catharines Athletics,9,4,13,17,11,,1,6,0,1
AIDEN LONG,Orangeville Northmen,16,13,3,16,23,,0,0,0,0
COHEN JENNINGS,Orangeville Northmen,19,8,8,16,6,,3,1,0,0
REED KURTZ,Mimico Mountaineers,18,7,9,16,2,,1,0,0,0
MALIKYE GOOD,Oakville Buzz,7,6,10,16,0,,0,4,0,0
RYCOL DAVIS,Six Nations Arrows,18,6,10,16,48,,0,1,1,0
TRISTEN DEMPERS,Whitby Warriors,18,5,11,16,22,,1,0,0,0
CURTIS GODDARD,Oakville Buzz,19,5,11,16,18,,0,2,0,0
TANNER COLE,Oakville Buzz,19,2,14,16,8,,0,4,0,0
OWEN TAPPER,Whitby Warriors,18,8,7,15,22,,1,0,0,0
DYLAN ROBINSON,Toronto Beaches,18,6,9,15,29,,0,0,1,0
CODY COULSON,Orangeville Northmen,11,8,6,14,4,,2,3,0,0
JACK TRAVASSOS,Burlington Chiefs,19,8,6,14,25,,0,0,1,0
