Rk,team_name,GP,W,L,T,PTS,OTW,OTL,GF,GA,DIFF,PPG,SHG,SHGA,PIM,st_diff
1,Mimico Mountaineers,20,16,4,0,32,2,0,270,198,72,72,29,43,375,58
2,Toronto Beaches,20,15,5,0,30,1,1,237,169,68,41,18,34,279,25
3,Whitby Warriors,19,13,6,0,26,1,2,228,162,66,36,15,44,336,7
4,Oakville Buzz,20,13,7,0,26,2,0,168,152,16,48,10,28,303,30
5,Orangeville Northmen,19,12,7,0,24,0,2,191,151,40,35,8,36,324,7
6,St. Catharines Athletics,20,10,10,0,20,1,1,185,200,-15,55,18,34,332,39
7,Peterborough Lakers,19,10,9,0,20,2,2,200,194,6,52,18,40,212,30
8,Burlington Chiefs,20,10,10,0,20,0,0,206,169,37,43,7,37,292,13
9,Six Nations Arrows,20,5,15,0,10,0,0,159,217,-58,42,9,70,495,-19
10,Brampton Excelsiors,20,3,17,0,6,0,1,134,224,-90,28,9,56,451,-19
11,Kitchener-Waterloo,19,1,18,0,2,0,0,120,262,-142,25,17,55,281,-13
