Year,Rank,player_name,team,Position,games_played,goals,assists,points,penalty_mins,pp_goals,pp_assists,sh_goals,sh_assists
2019,2019,"McConvey, Thomas",MIM,,20,48,57,105,28,11,17,4,3
2019,2019,"Waters, Kyle",ORA,,20,42,55,97,18,7,13,0,1
2019,2019,"Williams, Dyson",WHI,,19,36,59,95,8,9,12,0,0
2019,2019,"Van Schepen, Seth",BRA,,20,24,62,86,2,9,17,0,0
2019,2019,"Pilon, Kealan",SCA,,20,34,47,81,2,5,4,0,0
2019,2019,"Hasen, Austin",BRA,,19,34,45,79,14,9,12,1,0
2019,2019,"Pipher, Devin",WHI,,20,19,57,76,37,5,12,1,1
2019,2019,"Zavitz, Carter",SCA,,18,21,51,72,12,3,6,0,0
2019,2019,"Anderson, Matt",BUR,,18,30,39,69,24,4,13,1,1
2019,2019,"Watson, Dylan",ORA,,19,44,23,67,18,9,9,2,0
2019,2019,"Buck, Tanner",ORA,,19,28,37,65,10,8,12,0,0
2019,2019,"Kurtz, Tye",KWE,,16,28,37,65,6,8,4,0,1
2019,2019,"Kealey, Corson",TOR,,19,29,35,64,0,3,6,1,2
2019,2019,"X Sykes, Justin",MIM,,19,28,34,62,0,6,11,0,0
2019,2019,"Knox, Jason",BUR,,12,29,32,61,13,7,12,2,1
2019,2019,"McNabb, Jake",SCA,,17,26,33,59,0,6,6,0,0
2019,2019,"Longboat, Travis",SNA,,19,22,35,57,6,2,6,1,3
2019,2019,"X Grenon, Nathan",BRA,,19,29,28,57,30,5,5,0,1
2019,2019,"Lemieux, Hunter",BUR,,19,22,33,55,19,3,5,0,1
2019,2019,"DiCicco, Trent",KWE,,17,20,33,53,20,2,9,0,0
2019,2019,"Haigh, Gareth",MIM,,20,30,23,53,27,10,2,1,1
2019,2019,"Whiteford, James",BRA,,20,15,38,53,8,1,4,2,1
2019,2019,"Poitras, Adam",WHI,,19,25,27,52,2,4,5,0,0
2019,2019,"Thomas, Skkylar",TOR,,17,13,39,52,4,1,4,0,0
2019,2019,"X Donville, Jonathan",MIM,,11,22,30,52,10,2,11,1,1
2019,2019,"Clark, Taggart",TOR,,20,20,31,51,2,1,4,0,1
2019,2019,"X Del Zotto, Scott",BUR,,18,17,34,51,29,3,8,0,0
2019,2019,"Bomberry, Jeremy",SNA,,18,19,31,50,43,3,3,1,2
2019,2019,"Peshko, Johnathan",MIM,,19,13,37,50,4,0,12,0,2
2019,2019,"Angus, Marley",OAK,,18,20,28,48,0,2,7,0,0
2019,2019,"Walcot, Jaden",OAK,,16,19,29,48,0,5,4,0,1
2019,2019,"Cook, Tanner",WHI,,13,24,22,46,42,3,5,1,0
2019,2019,"Kearnan, Brady",TOR,,18,18,28,46,15,1,5,0,0
2019,2019,"Kurtz, Reed",KWE,,18,20,26,46,6,7,7,1,0
2019,2019,"Simmons, Alex",SCA,,8,19,27,46,4,2,6,0,0
2019,2019,"Scanlan, Chase",SNA,,14,22,23,45,4,2,5,2,1
2019,2019,"S Hill, Owen",SNA,,16,23,21,44,27,1,4,0,1
2019,2019,"Eistrat, Pent",BRA,,19,22,21,43,2,0,6,0,0
2019,2019,"Lanchbury, Ryan",BUR,,7,14,29,43,4,4,7,0,0
2019,2019,"Currie, Damon",BUR,,19,11,30,41,0,4,3,0,3
2019,2019,"Kitchen, Charlie",TOR,,17,20,21,41,2,1,0,2,0
2019,2019,"Mayea, Brayden",SCA,,16,18,23,41,0,2,5,0,0
2019,2019,"Pilcher, Luke",BUR,,10,18,23,41,2,8,6,3,0
2019,2019,"Orpana, Devyn",KWE,,18,13,27,40,10,0,2,0,0
2019,2019,"English, Sam",BUR,,12,15,24,39,0,2,7,1,1
2019,2019,"Hanna, Tristan",TOR,,16,18,21,39,6,5,1,1,2
2019,2019,"Hogg, Graydon",WHI,,15,17,21,38,10,2,1,0,0
2019,2019,"Bukta, Curtis",ORA,,19,8,29,37,4,0,4,0,2
2019,2019,"Nanticoke, Tehoka",SNA,,12,20,16,36,12,4,6,1,1
2019,2019,"Vince, Kyle",BRA,,20,17,19,36,48,0,0,1,2
2019,2019,"Follows, Henry",OAK,,19,19,16,35,0,2,3,0,1
2019,2019,"Kennery, Kyle",OAK,,20,9,26,35,28,3,1,0,0
2019,2019,"Qu, Edward",OAK,,18,15,20,35,29,1,2,0,1
2019,2019,"Scanlan, Clay",SNA,,19,7,28,35,2,0,3,1,2
2019,2019,"Barnable, Ryan",WHI,,16,11,21,32,2,0,3,2,3
2019,2019,"Lombardi, John",OAK,,15,16,15,31,2,1,1,2,0
2019,2019,"Boudreau, Jake",BRA,,19,12,18,30,14,0,1,1,1
2019,2019,"Power, Jakob",BLS,,14,22,8,30,51,7,2,0,0
2019,2019,"Simons, Alec",MIM,,17,7,23,30,52,2,4,1,2
2019,2019,"X Rosa, Jake",KWE,,16,11,19,30,6,0,0,1,0
2019,2019,"Haigh, Ryan",MIM,,20,4,24,28,23,0,0,0,0
2019,2019,"Kirwin, Bailey",BLS,,19,7,21,28,4,1,6,0,0
2019,2019,"Brown, Tyler",SCA,,11,15,12,27,2,3,4,0,0
2019,2019,"McConvey, Jonathon",MIM,,20,11,16,27,43,1,0,1,1
2019,2019,"Mcdonald, Cam",ORA,,18,5,22,27,12,1,3,1,0
2019,2019,"Vezina, John",BRA,,15,10,17,27,4,3,1,0,0
2019,2019,"Wolf, Adam",OAK,,11,6,21,27,4,1,7,0,0
2019,2019,"Pipher, Parker",WHI,,20,7,19,26,10,0,2,0,0
2019,2019,"Hiltz, Owen",PET,,12,15,9,24,2,1,5,0,0
2019,2019,"Robinson, Mike",PET,,12,17,7,24,8,6,2,0,0
2019,2019,"Boissonneault, Mathieu",WHI,,20,5,18,23,0,0,1,0,3
2019,2019,"Brand, Carter",TOR,,10,9,14,23,0,0,1,0,0
2019,2019,"Hill, Kevin Owen",SNA,,19,9,13,22,14,0,1,0,1
2019,2019,"LeClair, Sam",SCA,,11,10,12,22,0,1,0,0,0
2019,2019,"X Barrett, Trevor",KWE,,16,5,17,22,0,0,1,1,0
2019,2019,"Caskenette, Jordan",ORA,,18,4,17,21,19,0,1,0,0
2019,2019,"Eames, Tyler",WHI,,11,15,6,21,4,2,2,0,0
2019,2019,"Limoges, Liam",MIM,,6,8,13,21,2,1,4,0,1
2019,2019,"Mayea, Devyn",BUR,,19,8,13,21,56,0,0,0,2
2019,2019,"Westley, Sean",PET,,13,6,15,21,0,1,1,0,0
2019,2019,"Chisholm, Connor",BLS,,18,15,4,19,24,6,1,0,0
2019,2019,"Deaken, Zack",ORA,,20,4,15,19,22,0,1,0,0
2019,2019,"Hendrycks, Tyler",PET,,14,5,14,19,4,1,0,0,1
2019,2019,"Raposo, Jakson",TOR,,20,10,9,19,30,0,0,1,0
2019,2019,"Robinson, Luke",BUR,,14,11,8,19,0,1,1,0,0
2019,2019,"Sunderland, Zac",BRA,,11,6,13,19,0,0,1,0,0
2019,2019,"John, Ron",SNA,,19,11,7,18,8,0,1,5,0
2019,2019,"McCannell, Mike",ORA,,17,6,12,18,2,0,0,0,2
2019,2019,"Ogilvie, Mitch",PET,,18,8,10,18,12,0,0,0,1
2019,2019,"Page, Carter",PET,,10,10,8,18,2,1,4,2,0
2019,2019,"Reid, Jackson",SNA,,5,7,10,17,0,3,2,0,1
2019,2019,"X Braniff, Nate",KWE,,15,4,13,17,8,0,3,0,0
2019,2019,"Cordingley, Bryce",OAK,,15,6,10,16,4,0,0,0,0
2019,2019,"Corsi, Matteo",BRA,,9,5,11,16,0,0,2,2,1
2019,2019,"Kilgour, Kyler",SCA,,20,5,11,16,14,0,1,0,0
2019,2019,"Acchione, Matthew",BLS,,8,3,12,15,4,0,5,0,0
2019,2019,"Bowhunter, Wake:Riat",SNA,,9,4,11,15,0,0,0,1,1
2019,2019,"Hancock, Cam",KWE,,17,5,10,15,12,0,0,0,0
2019,2019,"Lockyer-Fagan, Braedan",BLS,,18,4,11,15,8,1,1,0,0
2019,2019,"Power, Gordie",BLS,,18,9,6,15,44,0,3,0,0
2019,2019,"Carnduff, William",WHI,,20,6,8,14,22,0,0,0,0
2019,2019,"Friesen, Owen",SCA,,19,2,12,14,12,0,3,0,0
2019,2019,"Searle, Jeremy",ORA,,19,7,7,14,0,0,0,0,0
2019,2019,"(AP) Hickey, Jacob",TOR,,7,1,12,13,2,0,0,0,0
2019,2019,"Dawick AP, Luke",OAK,,5,3,10,13,0,0,1,0,0
2019,2019,"Donville, Jonathan",ORA,,5,5,8,13,0,0,3,0,0
2019,2019,"Goddard, Curtis",OAK,,15,4,9,13,4,0,1,0,0
2019,2019,"Grant, Owen",TOR,,15,9,4,13,30,0,0,0,0
2019,2019,"Hastings, Carter",PET,,14,1,12,13,2,0,1,0,0
2019,2019,"James, Dylan",PET,,3,0,13,13,0,0,1,0,0
2019,2019,"Jones, Callum",BUR,,18,2,11,13,35,0,1,0,3
2019,2019,"Thomson, Keaton",MIM,,18,5,8,13,4,0,0,0,0
2019,2019,"Conley, Curtis",TOR,,20,5,7,12,20,0,0,1,1
2019,2019,"Dawick, Josh",WHI,,4,5,7,12,2,0,1,2,0
2019,2019,"Halls, Tyler",ORA,,20,6,6,12,2,0,0,1,0
2019,2019,"Leclair, Liam",SNA,,20,4,8,12,14,1,0,0,0
2019,2019,"McGreggor, Brayden",PET,,16,4,8,12,7,0,0,0,0
2019,2019,"Pratt, Dustyn",ORA,,20,5,7,12,24,0,0,2,0
2019,2019,"X Borgatti, Andrew",KWE,,20,6,6,12,30,0,0,2,0
2019,2019,"Brown, Travis",ORA,,19,1,10,11,17,0,0,0,0
2019,2019,"Cresswell, Braydon",MIM,,9,7,4,11,35,2,0,0,0
2019,2019,"Davis, Tyler",SNA,,7,2,9,11,6,0,1,0,0
2019,2019,"Dilks, Jamie",SNA,,20,3,8,11,2,0,0,1,0
2019,2019,"Fannell, Bradley",SCA,,20,6,5,11,18,0,0,1,0
2019,2019,"Fiegehen, Mike",ORA,,6,4,7,11,0,0,0,0,0
2019,2019,"Halliwell, Shane",KWE,,16,6,5,11,16,0,1,0,0
2019,2019,"McKenna, Jordan",ORA,,15,2,9,11,0,0,0,0,0
2019,2019,"Moyer, Carson",BLS,,9,4,7,11,4,0,1,0,0
2019,2019,"Trumble, Ben",BLS,,17,2,9,11,17,0,0,0,0
2019,2019,"Whitty, Tom",SCA,,20,1,10,11,16,0,0,0,0
2019,2019,"X Cole, Tanner",KWE,,10,3,8,11,0,1,0,0,1
2019,2019,"Yarranton, Max",BRA,,21,6,5,11,2,0,0,0,0
2019,2019,"Fairey, Josh",TOR,,15,5,5,10,0,0,1,0,1
2019,2019,"Maltby AP, Andrew",BLS,,10,2,8,10,0,0,2,0,0
2019,2019,"Salinas, Gutch",BUR,,16,3,7,10,29,0,0,0,1
2019,2019,"Szabo, Joey",MIM,,16,3,7,10,2,0,3,1,0
2019,2019,"Van Der Zalm, Saul",SCA,,20,5,5,10,12,0,0,0,0
2019,2019,"X Mazzuca, Phil",OAK,,20,5,5,10,19,1,0,1,0
2019,2019,"(AP) Tkachuk, Justin",TOR,,14,4,5,9,15,0,0,0,0
2019,2019,"Aquanno, Connor",SCA,,5,2,7,9,0,0,0,0,0
2019,2019,"Argent, Tye",BUR,,7,5,4,9,0,0,0,0,0
2019,2019,"Booth, Percy",SNA,,17,4,5,9,27,0,0,0,0
2019,2019,"Duncan, Matthew",TOR,,15,1,8,9,18,0,0,0,1
2019,2019,"Graham, Rory",MIM,,18,3,6,9,29,0,1,0,0
2019,2019,"Marinier, Matt",BUR,,19,4,5,9,39,0,1,0,0
2019,2019,"McGregor, Gavin",SCA,,11,2,7,9,0,0,0,0,0
2019,2019,"Smith, Hodowas",SNA,,8,3,6,9,19,0,0,0,1
2019,2019,"X Balawejder, Daniel",SNA,,20,1,8,9,28,1,0,0,1
2019,2019,"(AP) Boyden, Jack",TOR,,4,2,6,8,0,0,0,0,0
2019,2019,"Biles, Tyler",BRA,,19,1,7,8,53,0,0,0,0
2019,2019,"Blount-Smith, Owen",BRA,,20,2,6,8,16,0,0,1,0
2019,2019,"Caskenette, Brody",ORA,,8,3,5,8,0,1,1,0,0
2019,2019,"Driscoll, Kyle",KWE,,17,3,5,8,4,0,1,0,0
2019,2019,"Gagliardi, Jonathan",OAK,,15,3,5,8,23,0,1,0,0
2019,2019,"Handsor, Kobe",WHI,,19,0,8,8,14,0,1,0,0
2019,2019,"Harris, Latrell",SCA,,14,2,6,8,10,0,0,0,0
2019,2019,"Harris, Mike",BUR,,20,4,4,8,2,0,0,2,2
2019,2019,"Martin, Curtis",PET,,10,2,6,8,6,0,0,0,0
2019,2019,"Mcdonald, Liam",SCA,,3,3,5,8,0,0,0,0,0
2019,2019,"Reed, Scott",WHI,,20,5,3,8,27,0,0,0,0
2019,2019,"Smith, Matt",PET,,19,4,4,8,37,0,1,1,0
2019,2019,"St Onge, Rylee",SCA,,19,5,3,8,2,0,0,0,0
2019,2019,"Abrams, Maccoy",SNA,,3,4,3,7,6,0,0,0,0
2019,2019,"Connor, Joe",BLS,,20,2,5,7,46,0,0,0,0
2019,2019,"Kamminga, Mason",SCA,,18,3,4,7,34,0,0,0,0
2019,2019,"Kauffeldt, Devlin",BLS,,17,3,4,7,25,0,0,0,0
2019,2019,"Mandeville, Oriale",BLS,,18,3,4,7,6,0,1,0,0
2019,2019,"Race, Julian",SCA,,2,0,7,7,0,0,0,0,0
2019,2019,"Tamlin, Matt",PET,,9,3,4,7,71,0,0,0,0
2019,2019,"X Dawick, Josh",WHI,,4,2,5,7,0,0,0,0,0
2019,2019,"X Di Lella, Matt",BUR,,20,4,3,7,16,0,0,1,0
2019,2019,"Bolsterli, Oliver",SNA,,17,1,5,6,10,0,0,0,0
2019,2019,"Commandant, Caleb",OAK,,17,1,5,6,16,0,1,0,0
2019,2019,"Firth (AP), Sam",ORA,,3,2,4,6,0,1,0,0,0
2019,2019,"Hunt, Colin",BUR,,19,0,6,6,6,0,0,0,0
2019,2019,"Leclair, Sam",SCA,,1,1,5,6,0,1,5,0,0
2019,2019,"Millsap (AP), Noah",ORA,,3,2,4,6,0,0,0,0,0
