Date,Team,Against Team,Result,MIN,PTS,2FGP,3FGP,FT,RO,RD,RT,AS,PF,BS,ST,TO,RNK,League,Last,First
2022-10-27,Venezia,Estudiantes,85-69,23,13,2-5,3-3,0-1,0,2,2,0,1,2,1,0,13,Eurobasket,Kuier,Awak
2022-11-02,Venezia,Gernika,76-59,27,17,2-4,1-2,10-10,0,6,6,3,0,1,1,1,24,Eurobasket,Kuier,Awak
2022-11-10,Venezia,Keltern,87-53,26,14,7-8,0-1,0-0,2,7,9,4,2,4,1,2,26,Eurobasket,Kuier,Awak
2022-11-16,Venezia,Estudiantes,86-69,30,6,2-4,0-1,2-2,0,3,3,2,1,2,1,2,8,Eurobasket,Kuier,Awak
2022-12-08,Venezia,Gernika,68-65,39,19,9-15,0-4,1-4,3,6,9,3,1,3,2,4,18,Eurobasket,Kuier,Awak
2022-12-15,Venezia,Keltern,94-65,27,19,4-6,2-2,5-8,0,5,5,2,2,0,0,3,16,Eurobasket,Kuier,Awak
2023-01-05,Venezia,Sassari,82-89,34,21,6-9,2-4,3-5,0,6,6,2,3,0,4,1,22,Eurobasket,Kuier,Awak
2023-01-12,Venezia,Sassari,83-61,34,19,8-11,1-4,0-2,1,6,7,6,1,1,1,3,22,Eurobasket,Kuier,Awak
2023-01-26,Venezia,E.Holon,68-83,23,6,1-5,1-2,1-3,1,0,1,1,0,1,1,3,0,Eurobasket,Kuier,Awak
2023-02-01,Venezia,E.Holon,77-60,31,11,3-5,1-4,2-4,3,5,8,1,1,2,0,3,11,Eurobasket,Kuier,Awak
2023-02-23,Venezia,E.Ramla,75-80,9,1,0-1,0-1,1-2,0,4,4,0,1,0,0,0,1,Eurobasket,Kuier,Awak
2023-03-02,Venezia,E.Ramla,59-48,26,12,4-5,1-5,1-2,0,4,4,0,3,1,1,5,4,Eurobasket,Kuier,Awak
2023-03-16,Venezia,Galatasaray,49-74,32,6,3-7,0-4,0-0,0,4,4,1,2,0,2,5,-2,Eurobasket,Kuier,Awak
2023-03-23,Venezia,Galatasaray,69-60,31,10,2-5,2-5,0-0,0,3,3,1,3,4,0,1,8,Eurobasket,Kuier,Awak
2021-11-11,Finland,Lithuania,69-59,35,21,5-11,3-8,2-4,3,11,14,1,2,4,2,6,21,European Championships,Kuier,Awak
2021-11-14,Finland,Ukraine,71-77,37,25,9-12,1-5,4-5,3,8,11,1,2,2,0,5,24,European Championships,Kuier,Awak
2022-11-24,Finland,France,103-77,28,14,3-10,2-8,2-2,0,7,7,4,3,0,2,3,8,European Championships,Kuier,Awak
2022-11-27,Finland,Lithuania,56-65,39,19,3-13,4-11,1-4,1,8,9,5,3,3,2,2,13,European Championships,Kuier,Awak
2022-10-02,Venezia,Faenza,81-69,24,2,1-5,0-2,0-2,0,2,2,1,1,1,1,1,0,Italian Serie A,Kuier,Awak
2022-10-05,Venezia,Campobasso,80-68,29,6,0-2,0-3,6-8,0,7,7,3,5,0,1,3,6,Italian Serie A,Kuier,Awak
2022-10-09,Venezia,Ragusa,71-68,32,14,1-3,4-6,0-0,2,8,10,1,3,1,1,2,20,Italian Serie A,Kuier,Awak
2022-10-16,Venezia,Sassari,84-60,27,13,2-2,3-7,0-0,0,6,6,1,1,3,1,0,21,Italian Serie A,Kuier,Awak
2022-10-23,Venezia,Crema,87-60,20,15,2-5,3-6,2-2,1,3,4,0,2,0,1,1,12,Italian Serie A,Kuier,Awak
2022-10-29,Venezia,Brescia,94-47,24,16,2-6,2-3,6-7,1,3,4,2,0,0,3,0,23,Italian Serie A,Kuier,Awak
2022-11-06,Venezia,Lucca,79-67,33,19,5-5,3-5,0-1,1,7,8,1,2,3,3,2,29,Italian Serie A,Kuier,Awak
2022-11-13,Venezia,Valdarno,90-46,26,16,5-8,2-2,0-0,0,5,5,2,0,0,0,2,18,Italian Serie A,Kuier,Awak
2022-11-19,Venezia,Bologna,71-85,30,15,4-5,2-5,1-4,1,5,6,0,3,1,2,3,14,Italian Serie A,Kuier,Awak
2022-12-04,Venezia,Schio,71-83,27,12,4-8,1-6,1-1,0,3,3,0,2,2,1,3,5,Italian Serie A,Kuier,Awak
2022-12-11,Venezia,Moncalieri,69-50,27,8,2-6,0-1,4-4,3,7,10,3,2,2,0,4,16,Italian Serie A,Kuier,Awak
2022-12-18,Venezia,San Martino,71-63,34,8,4-7,0-1,0-0,1,4,5,4,0,0,0,1,14,Italian Serie A,Kuier,Awak
2022-12-22,Venezia,San Giovanni,71-45,24,12,4-8,0-3,4-6,1,5,6,3,2,3,4,0,21,Italian Serie A,Kuier,Awak
2022-12-30,Venezia,Faenza,102-71,25,28,9-11,2-3,4-5,0,5,5,0,2,0,1,0,32,Italian Serie A,Kuier,Awak
2023-01-08,Venezia,Campobasso,81-80,31,13,4-7,1-1,2-2,2,6,8,1,4,1,1,1,18,Italian Serie A,Kuier,Awak
2023-01-15,Venezia,Ragusa,82-74,27,10,4-6,0-3,2-4,0,6,6,1,4,2,2,2,11,Italian Serie A,Kuier,Awak
2023-01-21,Venezia,Sassari,74-79,30,10,4-9,0-2,2-2,0,7,7,1,1,2,1,3,14,Italian Serie A,Kuier,Awak
2023-01-29,Venezia,Crema,83-62,28,15,3-3,2-2,3-4,1,2,3,4,3,1,1,1,21,Italian Serie A,Kuier,Awak
2023-02-19,Venezia,Lucca,86-45,27,21,7-9,2-3,1-1,0,10,10,1,2,2,1,2,29,Italian Serie A,Kuier,Awak
2023-03-05,Venezia,Bologna,60-85,26,16,4-8,2-5,2-4,2,5,7,1,0,1,0,3,16,Italian Serie A,Kuier,Awak
2023-03-09,Venezia,Schio,73-72,38,20,5-10,2-3,4-4,0,10,10,1,1,4,0,1,32,Italian Serie A,Kuier,Awak
2023-03-12,Venezia,Moncalieri,79-66,28,13,4-9,1-2,2-4,1,4,5,0,1,2,0,3,13,Italian Serie A,Kuier,Awak
2023-03-19,Venezia,San Martino,80-55,16,6,1-4,0-1,4-6,0,2,2,2,0,0,0,2,4,Italian Serie A,Kuier,Awak
2023-03-26,Venezia,San Giovanni,67-51,25,6,2-7,0-2,2-2,1,4,5,1,0,0,1,1,6,Italian Serie A,Kuier,Awak
2023-01-04,Fenerbahce,Polkowice,111-61,19,17,4-6,3-3,0-0,0,2,2,4,3,0,0,2,16,Eurobasket,Sabally,Satou
2023-01-11,Fenerbahce,Atomeromu,91-71,16,0,0-2,0-2,0-0,2,0,2,1,1,0,1,1,-2,Eurobasket,Sabally,Satou
2023-01-18,Fenerbahce,Olympiacos,92-58,20,10,1-5,2-4,2-4,1,8,9,3,2,0,0,3,9,Eurobasket,Sabally,Satou
2023-01-25,Fenerbahce,Bologna,95-73,23,19,6-14,2-3,1-1,1,2,3,3,3,0,2,1,14,Eurobasket,Sabally,Satou
2023-01-31,Fenerbahce,USK Praha,73-66,23,14,5-7,0-3,4-5,2,4,6,6,4,0,3,1,18,Eurobasket,Sabally,Satou
2023-02-22,Fenerbahce,Valencia,93-61,20,20,2-5,3-5,7-8,3,4,7,0,1,1,2,4,19,Eurobasket,Sabally,Satou
2023-03-01,Fenerbahce,Bourges,90-79,26,14,4-5,1-4,3-4,2,4,6,4,5,0,1,3,12,Eurobasket,Sabally,Satou
2023-03-14,Fenerbahce,Sopron,82-62,24,13,4-9,1-3,2-2,2,2,4,3,3,1,1,0,12,Eurobasket,Sabally,Satou
2023-03-17,Fenerbahce,Sopron,82-62,20,8,2-4,0-5,4-6,2,3,5,1,1,1,0,4,1,Eurobasket,Sabally,Satou
2023-01-13,Fenerbahce,Antalya 07,106-69,29,31,5-9,7-10,0-0,4,3,7,5,5,1,4,1,35,KBSL,Sabally,Satou
2023-03-04,Fenerbahce,Kayseri,110-56,29,28,7-12,4-7,2-2,3,3,6,3,1,0,3,4,27,KBSL,Sabally,Satou
2023-03-06,Fenerbahce,Nesibe,82-81,30,27,5-6,4-8,5-8,2,0,2,3,2,0,3,2,23,KBSL,Sabally,Satou
2023-03-20,Fenerbahce,Besiktas,90-72,29,28,5-12,5-7,3-4,3,10,13,4,3,1,1,4,30,KBSL,Sabally,Satou
2023-03-28,Fenerbahce,Rize,110-54,20,14,5-9,1-6,1-2,1,3,4,3,1,0,1,1,10,KBSL,Sabally,Satou
2022-10-07,Ramat Hasharon,Ludovika-Csata,70-62,28,15,5-15,1-3,2-5,5,5,10,1,3,0,1,5,4,Eurocup,Collier,Charlie
2022-10-13,Ramat Hasharon,Ludovika-Csata,71-68,32,24,7-13,2-3,4-6,3,6,9,1,5,1,0,3,18,Eurocup,Collier,Charlie
2022-10-26,Ramat Hasharon,Crvena Zvezda,87-88,37,23,6-11,2-3,5-8,4,8,12,3,4,0,0,5,20,Eurocup,Collier,Charlie
2022-11-03,Ramat Hasharon,Panathinaikos,62-76,32,15,4-7,0-3,7-10,4,6,10,0,4,0,1,6,7,Eurocup,Collier,Charlie
2022-11-10,Ramat Hasharon,Lublin,66-69,28,13,2-5,1-6,6-6,1,0,1,1,0,0,1,1,7,Eurocup,Collier,Charlie
2022-12-06,Ramat Hasharon,Panathinaikos,65-59,29,15,6-11,1-5,0-1,5,5,10,1,3,0,0,1,12,Eurocup,Collier,Charlie
2022-12-14,Ramat Hasharon,Lublin,53-62,32,11,2-11,2-4,1-2,0,4,4,0,4,0,2,2,-1,Eurocup,Collier,Charlie
